Country,City,Date,1 bedroom,2 bedroom,3 bedroom,4 bedroom,5 bedroom,6+ bedroom
Kenya,Kiambu,11/1/2024,325,119,40,15,8,5
Kenya,Kiambu,12/1/2024,379,160,55,23,8,6
Kenya,Kiambu,1/1/2025,377,155,56,23,7,6
Kenya,Kiambu,2/1/2025,358,121,40,17,4,5
Kenya,Kiambu,3/1/2025,336,110,40,16,3,2
Kenya,Kiambu,4/1/2025,366,109,46,18,3,3
Kenya,Kiambu,5/1/2025,375,121,44,20,2,2
Kenya,Kiambu,6/1/2025,357,130,49,20,3,3
Kenya,Kiambu,7/1/2025,409,147,61,19,4,4
Kenya,Kiambu,8/1/2025,475,179,56,25,6,5
Kenya,Kiambu,9/1/2025,494,182,51,22,6,5
Kenya,Kiambu,10/1/2025,471,155,41,21,4,3
