Country,City,Date,1 bedroom,2 bedroom,3 bedroom,4 bedroom,5 bedroom,6+ bedroom
Kenya,Kiambu,11/1/2024,3003.55,4592.53,6715.75,15759.52,8679.63,13403.64
Kenya,Kiambu,12/1/2024,2961.53,4868.55,7469.4,12014.71,8920.38,14470.11
Kenya,Kiambu,1/1/2025,3018.29,4940.57,6596.91,16580.25,5045.3,16488.23
Kenya,Kiambu,2/1/2025,3192.93,4737.82,6772.87,14785.02,4642.95,4127.07
Kenya,Kiambu,3/1/2025,3044.83,5212.78,6864.37,11784.39,3903.44,9684.16
Kenya,Kiambu,4/1/2025,2876.17,5140.22,8194.44,10665.8,4806.06,22946.85
Kenya,Kiambu,5/1/2025,3203.61,4966.97,7463.6,12032.34,6900.14,2460.64
Kenya,Kiambu,6/1/2025,3205.22,4661.88,7855.29,9852.54,8540.35,14506.76
Kenya,Kiambu,7/1/2025,3078.55,4735.41,8079.18,12398.19,9328.84,2107.24
Kenya,Kiambu,8/1/2025,3028.62,4706.97,8279.17,11871.59,9431.26,4128.7
Kenya,Kiambu,9/1/2025,2963.02,4687.87,10631.24,17790.48,12234.95,3237.58
Kenya,Kiambu,10/1/2025,2808.5,4897.96,10797.54,18257.07,10728.84,2038.41
