Country,City,Date,Average Daily Rate
Kenya,Kiambu,12/1/2024,4032
Kenya,Kiambu,12/2/2024,3730
Kenya,Kiambu,12/3/2024,3863
Kenya,Kiambu,12/4/2024,3927
Kenya,Kiambu,12/5/2024,3836
Kenya,Kiambu,12/6/2024,4009
Kenya,Kiambu,12/7/2024,4135
Kenya,Kiambu,12/8/2024,4093
Kenya,Kiambu,12/9/2024,4020
Kenya,Kiambu,12/10/2024,4078
Kenya,Kiambu,12/11/2024,4313
Kenya,Kiambu,12/12/2024,4527
Kenya,Kiambu,12/13/2024,4162
Kenya,Kiambu,12/14/2024,4344
Kenya,Kiambu,12/15/2024,4188
Kenya,Kiambu,12/16/2024,4080
Kenya,Kiambu,12/17/2024,4200
Kenya,Kiambu,12/18/2024,4215
Kenya,Kiambu,12/19/2024,4371
Kenya,Kiambu,12/20/2024,4677
Kenya,Kiambu,12/21/2024,4779
Kenya,Kiambu,12/22/2024,4520
Kenya,Kiambu,12/23/2024,4524
Kenya,Kiambu,12/24/2024,4820
Kenya,Kiambu,12/25/2024,5153
Kenya,Kiambu,12/26/2024,5194
Kenya,Kiambu,12/27/2024,5330
Kenya,Kiambu,12/28/2024,5254
Kenya,Kiambu,12/29/2024,5055
Kenya,Kiambu,12/30/2024,4610
Kenya,Kiambu,12/31/2024,4944
Kenya,Kiambu,1/1/2025,5237
Kenya,Kiambu,1/2/2025,4834
Kenya,Kiambu,1/3/2025,4724
Kenya,Kiambu,1/4/2025,4735
Kenya,Kiambu,1/5/2025,4371
Kenya,Kiambu,1/6/2025,4166
Kenya,Kiambu,1/7/2025,3996
Kenya,Kiambu,1/8/2025,4192
Kenya,Kiambu,1/9/2025,4129
Kenya,Kiambu,1/10/2025,4218
Kenya,Kiambu,1/11/2025,4220
Kenya,Kiambu,1/12/2025,4046
Kenya,Kiambu,1/13/2025,3964
Kenya,Kiambu,1/14/2025,4007
Kenya,Kiambu,1/15/2025,4034
Kenya,Kiambu,1/16/2025,3846
Kenya,Kiambu,1/17/2025,4376
Kenya,Kiambu,1/18/2025,4509
Kenya,Kiambu,1/19/2025,4037
Kenya,Kiambu,1/20/2025,4066
Kenya,Kiambu,1/21/2025,3956
Kenya,Kiambu,1/22/2025,3886
Kenya,Kiambu,1/23/2025,3955
Kenya,Kiambu,1/24/2025,4605
Kenya,Kiambu,1/25/2025,4694
Kenya,Kiambu,1/26/2025,4169
Kenya,Kiambu,1/27/2025,3653
Kenya,Kiambu,1/28/2025,3653
