Country,City,Date,Budget,Economy,Midscale,Upscale,Luxury
Kenya,Kiambu,11/1/2024,1943,2832,3565,4278,7244
Kenya,Kiambu,12/1/2024,2055,3129,4369,4423,7415
Kenya,Kiambu,1/1/2025,2022,3017,3677,4149,7257
Kenya,Kiambu,2/1/2025,2003,2899,3833,3983,7955
Kenya,Kiambu,3/1/2025,2096,3008,3406,4073,7908
Kenya,Kiambu,4/1/2025,1895,3009,3767,3910,8147
Kenya,Kiambu,5/1/2025,1888,2983,3839,4171,8090
Kenya,Kiambu,6/1/2025,2099,3262,3656,3940,7589
Kenya,Kiambu,7/1/2025,2063,3219,3525,4269,8126
Kenya,Kiambu,8/1/2025,2183,3109,3815,4766,7918
Kenya,Kiambu,9/1/2025,1990,2727,3194,4154,9044
Kenya,Kiambu,10/1/2025,1931,2831,3189,4105,9102
