Country,City,Date,1 bedroom,2 bedroom,3 bedroom,4 bedroom,5 bedroom,6+ bedroom
Kenya,Kiambu,11/1/2024,33084.34,53382.76,67349.75,112418.36,97645.87,26807.29
Kenya,Kiambu,12/1/2024,39749.14,67158.6,105402.05,166567.57,202620.22,133125.03
Kenya,Kiambu,1/1/2025,35890.27,67795.75,91003.86,135750.79,61804.97,103051.46
Kenya,Kiambu,2/1/2025,32896.58,64712.39,91659.55,120128.57,46429.49,20635.33
Kenya,Kiambu,3/1/2025,31851.57,71094.44,74024.29,145697.46,52045.9,48420.82
Kenya,Kiambu,4/1/2025,32504.15,62940.49,74979.16,146184.4,89713.11,91787.4
Kenya,Kiambu,5/1/2025,35409.86,52639.5,86631.26,124756.9,86251.81,7381.91
Kenya,Kiambu,6/1/2025,34654.59,63358.68,73538.57,126236.28,93943.37,43519.86
Kenya,Kiambu,7/1/2025,36713.22,65721.46,106183.57,167011.41,116610.54,11589.83
Kenya,Kiambu,8/1/2025,32730.79,70781.6,115738.84,164137,130151.32,34681.12
Kenya,Kiambu,9/1/2025,32329.13,47672.65,89701.56,204590.17,192700.49,35613.33
Kenya,Kiambu,10/1/2025,30067.5,52906.55,110974.42,177499.39,244081.2,36691.31
