Country,City,Date,25%,50%,75%,90%
Kenya,Kiambu,11/1/2024,9712.79,24346.71,61514.31,102178.5
Kenya,Kiambu,12/1/2024,15482.66,39738.82,78832.52,141924.34
Kenya,Kiambu,1/1/2025,10878.19,32116.57,76147.35,120437.14
Kenya,Kiambu,2/1/2025,9672.81,29147.4,65388.2,114139.17
Kenya,Kiambu,3/1/2025,9710.06,26540.82,57742.47,114319.73
Kenya,Kiambu,4/1/2025,10890.03,27484.36,61710.17,116160.33
Kenya,Kiambu,5/1/2025,7381.91,25253.91,58537.26,120571.22
Kenya,Kiambu,6/1/2025,8875.57,27784.38,65087.49,120013.1
Kenya,Kiambu,7/1/2025,10359.63,31337.87,72646.87,137394.53
Kenya,Kiambu,8/1/2025,9453.78,29008.85,68896.02,130410.33
Kenya,Kiambu,9/1/2025,8806.21,23310.54,54132.26,97256.77
Kenya,Kiambu,10/1/2025,7364.1,23771.84,60333.95,108394.4
