Country,City,Date,Unique,B&B,Apartment,House
Kenya,Kiambu,11/1/2024,755395.67,134424.94,13774801.19,4522272.7
Kenya,Kiambu,12/1/2024,888704.43,933733.15,21323100.36,10483693.17
Kenya,Kiambu,1/1/2025,596228.59,240744.78,17042114.17,6339137.58
Kenya,Kiambu,2/1/2025,681094.85,176947.95,12819053.66,5078225.64
Kenya,Kiambu,3/1/2025,666498.28,118462.69,13184962.05,5093636.71
Kenya,Kiambu,4/1/2025,401893.98,107603.87,14315852.57,6979861.32
Kenya,Kiambu,5/1/2025,627073.96,384895.46,13178784.21,5613619.96
Kenya,Kiambu,6/1/2025,828643.48,419467,16627280.66,5461303.35
Kenya,Kiambu,7/1/2025,745375.06,795878.24,20000552.17,7964091.68
Kenya,Kiambu,8/1/2025,619805.19,154627.54,24138990.3,10101943.92
Kenya,Kiambu,9/1/2025,636636.85,152554.56,16135687.78,8107277.56
Kenya,Kiambu,10/1/2025,632279.16,65243.35,15389938.2,9064562.75
