Country,City,Date,0-6,14-Jul,15-30,31-60,61-90,91+
Kenya,Kiambu,11/1/2024,534,76,55,47,16,22
Kenya,Kiambu,12/1/2024,741,125,95,77,31,49
Kenya,Kiambu,1/1/2025,578,76,51,23,10,16
Kenya,Kiambu,2/1/2025,520,93,75,34,7,11
Kenya,Kiambu,3/1/2025,552,87,75,40,8,3
Kenya,Kiambu,4/1/2025,659,92,101,40,19,7
Kenya,Kiambu,5/1/2025,644,73,63,33,5,11
Kenya,Kiambu,6/1/2025,674,89,70,53,19,12
Kenya,Kiambu,7/1/2025,689,94,85,56,16,33
Kenya,Kiambu,8/1/2025,901,143,104,52,21,33
Kenya,Kiambu,9/1/2025,751,112,65,40,19,17
Kenya,Kiambu,10/1/2025,779,112,74,54,7,24
