Country,City,Date,1 bedroom,2 bedroom,3 bedroom,4 bedroom,5 bedroom,6+ bedroom
Kenya,Kisumu,11/1/2024,109,68,35,12,3,1
Kenya,Kisumu,12/1/2024,129,85,47,16,6,2
Kenya,Kisumu,1/1/2025,138,89,47,17,6,2
Kenya,Kisumu,2/1/2025,116,68,34,13,4,1
Kenya,Kisumu,3/1/2025,119,66,33,10,4,1
Kenya,Kisumu,4/1/2025,134,82,40,13,4,2
Kenya,Kisumu,5/1/2025,138,81,41,15,4,3
Kenya,Kisumu,6/1/2025,136,81,37,11,4,2
Kenya,Kisumu,7/1/2025,154,81,36,13,4,2
Kenya,Kisumu,8/1/2025,173,84,38,17,6,2
Kenya,Kisumu,9/1/2025,195,84,39,13,5,1
Kenya,Kisumu,10/1/2025,194,89,36,13,5,2
