Country,City,Date,25%,50%,75%,90%
Kenya,Kisumu,11/1/2024,13727.4,30821.9,71486.1,127043.23
Kenya,Kisumu,12/1/2024,21288.65,45286.77,96766.6,150955.89
Kenya,Kisumu,1/1/2025,10101.18,37296.66,65657.67,112408
Kenya,Kisumu,2/1/2025,11478.4,25407.25,52362.15,97501.93
Kenya,Kisumu,3/1/2025,11911,29130.17,61497.02,101372.99
Kenya,Kisumu,4/1/2025,12705.04,28002.94,62228.75,111752.46
Kenya,Kisumu,5/1/2025,12432.69,29139.12,60997.9,97518.94
Kenya,Kisumu,6/1/2025,13120.4,28813.43,67917.38,116282.79
Kenya,Kisumu,7/1/2025,14503.48,31337.87,63841.19,99711.4
Kenya,Kisumu,8/1/2025,9453.78,26548.28,62938.85,96350.83
Kenya,Kisumu,9/1/2025,6475.15,19425.45,48563.63,81975.41
Kenya,Kisumu,10/1/2025,9172.83,20025.19,51031.93,93666.2
