Country,City,Date,Unique,B&B,Apartment,House
Kenya,Kisumu,11/1/2024,205393.03,0,7197432.69,2624912.52
Kenya,Kisumu,12/1/2024,166954.64,11353.95,11641666.79,6016172.9
Kenya,Kisumu,1/1/2025,142841.04,25382.45,7412193.64,3590451.27
Kenya,Kisumu,2/1/2025,119040.06,33016.53,5368796.88,2126470.72
Kenya,Kisumu,3/1/2025,179441.84,8803.78,5766737.82,2594397.63
Kenya,Kisumu,4/1/2025,221300.98,37726.18,8688558.96,3185852.49
Kenya,Kisumu,5/1/2025,204880.42,8158.95,6286668.98,3229392.04
Kenya,Kisumu,6/1/2025,118984.05,11190.93,8778578.52,2772263.93
Kenya,Kisumu,7/1/2025,181552.44,96215.02,9158168.02,2678999.18
Kenya,Kisumu,8/1/2025,222228.52,52060.53,8459447.22,3985220.44
Kenya,Kisumu,9/1/2025,128596.5,8547.2,5898474.05,2885974.8
Kenya,Kisumu,10/1/2025,173250.17,29068.82,7068632.9,4182163.58
