Country,City,Date,1 bedroom,2 bedroom,3 bedroom,4 bedroom,5 bedroom,6+ bedroom
Kenya,Mombasa,11/1/2024,3815.57,7883.76,11758.3,15759.68,21764.84,25754.55
Kenya,Mombasa,12/1/2024,4462.19,8772.17,13419.53,19806.31,25736.93,23419.64
Kenya,Mombasa,1/1/2025,4045.34,7934.53,11775.34,16994.69,23825.06,8352.9
Kenya,Mombasa,2/1/2025,3799.09,7379.92,10181.78,13594.91,22007.11,8641.04
Kenya,Mombasa,3/1/2025,3740.42,6802.44,9606.4,13053.65,23878.65,0
Kenya,Mombasa,4/1/2025,3743.51,7254.11,11305.61,16125.51,23535.03,42728.24
Kenya,Mombasa,5/1/2025,3563.52,6903.71,10104.45,19919.93,24820.49,39132.76
Kenya,Mombasa,6/1/2025,3518.09,6749.38,10121.56,16527.18,26027.25,47722.25
Kenya,Mombasa,7/1/2025,3672.04,6973.4,10633.84,15874.26,27274.41,0
Kenya,Mombasa,8/1/2025,3885.36,7679.95,11853.5,16443.7,28513.48,21226.29
Kenya,Mombasa,9/1/2025,3605.22,7121.15,11033.89,13709.59,22819.48,24087.56
Kenya,Mombasa,10/1/2025,3714.86,7611.89,11559.66,14840.17,21747.34,29826.53
