Country,City,Date,Budget,Economy,Midscale,Upscale,Luxury
Kenya,Mombasa,11/1/2024,3150,4832,5715,8125,12619
Kenya,Mombasa,12/1/2024,3659,5889,7025,9497,14937
Kenya,Mombasa,1/1/2025,3410,4669,6382,8172,12689
Kenya,Mombasa,2/1/2025,3294,4235,5400,6788,10501
Kenya,Mombasa,3/1/2025,3239,3968,5159,6832,10337
Kenya,Mombasa,4/1/2025,3534,4500,5741,8038,11794
Kenya,Mombasa,5/1/2025,3274,4039,5286,7394,10844
Kenya,Mombasa,6/1/2025,3203,3853,5545,7313,10478
Kenya,Mombasa,7/1/2025,3650,4389,6106,7929,11425
Kenya,Mombasa,8/1/2025,3693,4991,6543,8981,12868
Kenya,Mombasa,9/1/2025,3112,3995,5194,7220,10119
Kenya,Mombasa,10/1/2025,3035,4076,5697,7735,11413
