Country,City,Date,1 bedroom,2 bedroom,3 bedroom,4 bedroom,5 bedroom,6+ bedroom
Kenya,Mombasa,11/1/2024,52920.43,108055.38,148428.19,170417.94,282942.49,114055.29
Kenya,Mombasa,12/1/2024,68819.11,132525.08,191192.73,277963.99,308842.85,213118.75
Kenya,Mombasa,1/1/2025,44560.45,76632.99,99112,147286.85,131038.2,13364.64
Kenya,Mombasa,2/1/2025,39699.79,74008.61,96893.19,131261.33,151298.24,8641.04
Kenya,Mombasa,3/1/2025,41693.69,76864.81,93616.6,156643.93,69465.74,
Kenya,Mombasa,4/1/2025,46114.09,96435.11,129894.73,198343.76,199067.16,256369.47
Kenya,Mombasa,5/1/2025,41578.29,77807.94,108723.9,196709.81,143194.84,78265.1
Kenya,Mombasa,6/1/2025,41192.92,80047.32,108516.02,172124.25,191485.85,143166.75
Kenya,Mombasa,7/1/2025,44497.18,86706.18,143684.12,197245.98,311708.18,
Kenya,Mombasa,8/1/2025,54161.08,114200.34,173279.97,255551.14,399188.99,74292.44
Kenya,Mombasa,9/1/2025,43397.76,75092.33,107131.37,115160.56,212506.69,120437.81
Kenya,Mombasa,10/1/2025,47294.33,87621.18,122835.79,148402.14,222052.2,183930.7
