Country,City,Date,1 bedroom,2 bedroom,3 bedroom,4 bedroom,5 bedroom,6+ bedroom
Kenya,Nairobi,11/1/2024,3206,1287,404,105,21,24
Kenya,Nairobi,12/1/2024,3496,1474,543,143,37,31
Kenya,Nairobi,1/1/2025,3599,1500,549,148,38,29
Kenya,Nairobi,2/1/2025,3544,1459,483,118,31,19
Kenya,Nairobi,3/1/2025,3578,1426,418,102,23,21
Kenya,Nairobi,4/1/2025,3444,1370,409,103,21,19
Kenya,Nairobi,5/1/2025,3554,1366,413,98,24,19
Kenya,Nairobi,6/1/2025,3654,1393,466,115,23,22
Kenya,Nairobi,7/1/2025,3742,1500,546,134,31,29
Kenya,Nairobi,8/1/2025,3945,1588,577,146,43,24
Kenya,Nairobi,9/1/2025,4043,1565,540,140,40,20
Kenya,Nairobi,10/1/2025,3986,1491,447,107,36,20
