Country,City,Date,Last 7 Days,Last 30 Days,Last 60 Days,All Time
Kenya,Nairobi,11/15/2025,647,1711,2116,2505
Kenya,Nairobi,11/16/2025,513,1459,1833,2209
Kenya,Nairobi,11/17/2025,439,1304,1675,2042
Kenya,Nairobi,11/18/2025,413,1255,1616,1989
Kenya,Nairobi,11/19/2025,385,1201,1555,1925
Kenya,Nairobi,11/20/2025,349,1150,1497,1866
Kenya,Nairobi,11/21/2025,333,1133,1478,1845
Kenya,Nairobi,11/22/2025,318,1111,1436,1808
Kenya,Nairobi,11/23/2025,282,1032,1347,1706
Kenya,Nairobi,11/24/2025,252,956,1262,1618
Kenya,Nairobi,11/25/2025,243,915,1211,1567
Kenya,Nairobi,11/26/2025,233,906,1207,1565
Kenya,Nairobi,11/27/2025,223,907,1227,1578
Kenya,Nairobi,11/28/2025,241,944,1278,1634
Kenya,Nairobi,11/29/2025,241,946,1273,1632
Kenya,Nairobi,11/30/2025,227,859,1170,1507
Kenya,Nairobi,12/1/2025,199,732,1031,1386
Kenya,Nairobi,12/2/2025,204,738,1042,1416
Kenya,Nairobi,12/3/2025,210,730,1043,1413
Kenya,Nairobi,12/4/2025,212,735,1055,1439
Kenya,Nairobi,12/5/2025,207,747,1074,1475
Kenya,Nairobi,12/6/2025,210,734,1063,1465
Kenya,Nairobi,12/7/2025,210,720,1037,1442
Kenya,Nairobi,12/8/2025,210,700,1031,1428
Kenya,Nairobi,12/9/2025,207,697,1032,1445
Kenya,Nairobi,12/10/2025,202,697,1028,1444
Kenya,Nairobi,12/11/2025,204,702,1041,1458
Kenya,Nairobi,12/12/2025,196,689,1031,1461
Kenya,Nairobi,12/13/2025,187,690,1022,1436
Kenya,Nairobi,12/14/2025,175,670,988,1404
