Country,City,Date,1 bedroom,2 bedroom,3 bedroom,4 bedroom,5 bedroom,6+ bedroom
Kenya,Nairobi,11/1/2024,4564.77,7302.91,8593.97,12056.92,11868.78,17136.28
Kenya,Nairobi,12/1/2024,4606.06,7420.88,9072.53,13402.73,16647.12,19145.99
Kenya,Nairobi,1/1/2025,4623.98,7475.88,8990.48,13826.86,13009.13,16576.91
Kenya,Nairobi,2/1/2025,4706.14,7391.05,8836.85,12852.52,14542.47,20773.17
Kenya,Nairobi,3/1/2025,4489.15,7137.09,8602.55,12559.25,17085.56,15671.68
Kenya,Nairobi,4/1/2025,4576.18,7065.26,8799.05,12406.15,14923.48,18971.81
Kenya,Nairobi,5/1/2025,4517.45,7120.57,8455.78,13026.97,16564.12,11539.85
Kenya,Nairobi,6/1/2025,4505.51,7191.77,9017.97,13558.65,14861.25,12507.07
Kenya,Nairobi,7/1/2025,4650.72,7329.93,8997.73,12219.97,19224.56,17943.62
Kenya,Nairobi,8/1/2025,4532.57,7284.47,9255.5,12900.17,19489.98,15590.46
Kenya,Nairobi,9/1/2025,4430.99,7361.53,9483.17,12371.95,15734.37,12259.62
Kenya,Nairobi,10/1/2025,4434.11,7403.04,9344,13887.26,20588.83,19921.41
