Country,City,Date,Booked Listings,Daily Rate
Kenya,Nairobi,11/16/2025,2389,5171.39
Kenya,Nairobi,11/17/2025,2188,5300.68
Kenya,Nairobi,11/18/2025,2115,5300.68
Kenya,Nairobi,11/19/2025,2038,5171.39
Kenya,Nairobi,11/20/2025,1975,5171.39
Kenya,Nairobi,11/21/2025,1942,5300.68
Kenya,Nairobi,11/22/2025,1884,5429.96
Kenya,Nairobi,11/23/2025,1773,5300.68
Kenya,Nairobi,11/24/2025,1688,5171.39
Kenya,Nairobi,11/25/2025,1629,5171.39
Kenya,Nairobi,11/26/2025,1640,5429.96
Kenya,Nairobi,11/27/2025,1651,5429.96
Kenya,Nairobi,11/28/2025,1706,5559.24
Kenya,Nairobi,11/29/2025,1703,5688.53
Kenya,Nairobi,11/30/2025,1567,5300.68
Kenya,Nairobi,12/1/2025,1434,5817.81
Kenya,Nairobi,12/2/2025,1463,5688.53
Kenya,Nairobi,12/3/2025,1456,5688.53
Kenya,Nairobi,12/4/2025,1479,5817.81
Kenya,Nairobi,12/5/2025,1514,5817.81
Kenya,Nairobi,12/6/2025,1510,5817.81
Kenya,Nairobi,12/7/2025,1477,5817.81
Kenya,Nairobi,12/8/2025,1462,5817.81
Kenya,Nairobi,12/9/2025,1482,5817.81
Kenya,Nairobi,12/10/2025,1471,5947.1
Kenya,Nairobi,12/11/2025,1482,5947.1
Kenya,Nairobi,12/12/2025,1482,6076.38
Kenya,Nairobi,12/13/2025,1456,6076.38
Kenya,Nairobi,12/14/2025,1423,5947.1
Kenya,Nairobi,12/15/2025,1401,5817.81
Kenya,Nairobi,12/16/2025,1394,5817.81
Kenya,Nairobi,12/17/2025,1422,5947.1
Kenya,Nairobi,12/18/2025,1446,6205.67
Kenya,Nairobi,12/19/2025,1464,6205.67
Kenya,Nairobi,12/20/2025,1475,6334.95
Kenya,Nairobi,12/21/2025,1445,6334.95
Kenya,Nairobi,12/22/2025,1425,6334.95
Kenya,Nairobi,12/23/2025,1396,6334.95
Kenya,Nairobi,12/24/2025,1409,6334.95
Kenya,Nairobi,12/25/2025,1431,6334.95
Kenya,Nairobi,12/26/2025,1440,6464.24
Kenya,Nairobi,12/27/2025,1451,6464.24
Kenya,Nairobi,12/28/2025,1431,6464.24
Kenya,Nairobi,12/29/2025,1409,6464.24
Kenya,Nairobi,12/30/2025,1375,6334.95
Kenya,Nairobi,12/31/2025,1331,6205.67
Kenya,Nairobi,1/1/2026,1141,6464.24
Kenya,Nairobi,1/2/2026,1067,6334.95
Kenya,Nairobi,1/3/2026,1010,6205.67
Kenya,Nairobi,1/4/2026,954,6205.67
Kenya,Nairobi,1/5/2026,868,6076.38
Kenya,Nairobi,1/6/2026,827,6205.67
Kenya,Nairobi,1/7/2026,792,6205.67
Kenya,Nairobi,1/8/2026,762,6076.38
Kenya,Nairobi,1/9/2026,731,6334.95
Kenya,Nairobi,1/10/2026,736,6334.95
Kenya,Nairobi,1/11/2026,692,6205.67
Kenya,Nairobi,1/12/2026,656,6205.67
Kenya,Nairobi,1/13/2026,616,5947.1
Kenya,Nairobi,1/14/2026,600,5947.1
Kenya,Nairobi,1/15/2026,578,6076.38
Kenya,Nairobi,1/16/2026,587,6334.95
Kenya,Nairobi,1/17/2026,564,6334.95
Kenya,Nairobi,1/18/2026,525,5947.1
Kenya,Nairobi,1/19/2026,478,5817.81
Kenya,Nairobi,1/20/2026,464,5817.81
Kenya,Nairobi,1/21/2026,465,5817.81
Kenya,Nairobi,1/22/2026,447,5817.81
Kenya,Nairobi,1/23/2026,455,5947.1
Kenya,Nairobi,1/24/2026,452,5947.1
Kenya,Nairobi,1/25/2026,433,5817.81
Kenya,Nairobi,1/26/2026,407,5817.81
Kenya,Nairobi,1/27/2026,398,5817.81
Kenya,Nairobi,1/28/2026,395,5817.81
Kenya,Nairobi,1/29/2026,394,5817.81
