Country,City,Date,1 bedroom,2 bedroom,3 bedroom,4 bedroom,5 bedroom,6+ bedroom
Kenya,Nairobi,11/1/2024,66303.36,107095.76,113968.52,161704.92,160228.58,120732.51
Kenya,Nairobi,12/1/2024,75009.6,135606.13,153107.98,221243.28,237221.38,198297.98
Kenya,Nairobi,1/1/2025,72447.47,126145.6,135540.99,189209.34,154251.48,204774.22
Kenya,Nairobi,2/1/2025,66354.19,111049.03,124274.98,181912.04,140998.63,207731.99
Kenya,Nairobi,3/1/2025,64259.86,108030.2,135740.12,170596.63,249448.76,144963.38
Kenya,Nairobi,4/1/2025,63287.93,107469.04,135398.08,177462.12,206690.19,160627.95
Kenya,Nairobi,5/1/2025,61932.94,104316.77,110144.6,151143.99,167590.11,136314.12
Kenya,Nairobi,6/1/2025,62736.11,110718.19,138169.42,199889.34,176848.88,86298.81
Kenya,Nairobi,7/1/2025,69506.61,124729.89,157800.41,211748.16,271707.08,136371.52
Kenya,Nairobi,8/1/2025,67136.06,125951.51,163731.65,209579.88,303718.79,165750.62
Kenya,Nairobi,9/1/2025,61375.37,105645.97,127625.23,138243.18,143779.43,90275.26
Kenya,Nairobi,10/1/2025,63588.37,110816.81,130206.35,183713.66,274044.05,191874.89
