Country,City,Date,0-6,14-Jul,15-30,31-60,61-90,91+
Kenya,Nairobi,11/1/2024,6433,1167,992,632,266,230
Kenya,Nairobi,12/1/2024,8204,1674,1543,1193,468,700
Kenya,Nairobi,1/1/2025,7382,1264,1069,828,285,379
Kenya,Nairobi,2/1/2025,7329,1426,1253,692,199,273
Kenya,Nairobi,3/1/2025,6736,1139,987,594,149,171
Kenya,Nairobi,4/1/2025,7122,1247,989,622,198,136
Kenya,Nairobi,5/1/2025,7340,1130,870,548,185,164
Kenya,Nairobi,6/1/2025,7945,1312,1145,891,302,316
Kenya,Nairobi,7/1/2025,8486,1505,1261,926,406,591
Kenya,Nairobi,8/1/2025,9527,1664,1591,937,406,617
Kenya,Nairobi,9/1/2025,7411,1312,1083,875,289,387
Kenya,Nairobi,10/1/2025,7830,1428,1167,867,308,405
