Country,City,Date,1 bedroom,2 bedroom,3 bedroom,4 bedroom,5 bedroom,6+ bedroom
Kenya,Nakuru,11/1/2024,251,159,84,42,26,18
Kenya,Nakuru,12/1/2024,298,202,130,60,38,25
Kenya,Nakuru,1/1/2025,307,202,126,61,38,20
Kenya,Nakuru,2/1/2025,248,138,85,39,18,15
Kenya,Nakuru,3/1/2025,330,184,93,67,20,17
Kenya,Nakuru,4/1/2025,373,204,109,72,25,18
Kenya,Nakuru,5/1/2025,346,198,118,69,26,17
Kenya,Nakuru,6/1/2025,314,176,107,61,22,19
Kenya,Nakuru,7/1/2025,279,156,92,50,24,17
Kenya,Nakuru,8/1/2025,272,176,111,49,28,23
Kenya,Nakuru,9/1/2025,297,176,112,50,26,21
Kenya,Nakuru,10/1/2025,297,175,100,53,26,16
