Country,City,Date,Last 7 Days,Last 30 Days,Last 60 Days,All Time
Kenya,Kisumu,11/16/2025,24,46,53,65
Kenya,Kisumu,11/17/2025,15,37,44,58
Kenya,Kisumu,11/18/2025,15,34,40,51
Kenya,Kisumu,11/19/2025,12,33,39,50
Kenya,Kisumu,11/20/2025,11,34,44,55
Kenya,Kisumu,11/21/2025,12,40,52,63
Kenya,Kisumu,11/22/2025,11,38,50,61
Kenya,Kisumu,11/23/2025,8,28,36,47
Kenya,Kisumu,11/24/2025,9,29,37,48
Kenya,Kisumu,11/25/2025,8,29,37,48
Kenya,Kisumu,11/26/2025,10,31,38,49
Kenya,Kisumu,11/27/2025,10,25,32,46
Kenya,Kisumu,11/28/2025,9,25,32,42
Kenya,Kisumu,11/29/2025,9,24,31,41
Kenya,Kisumu,11/30/2025,7,22,29,38
Kenya,Kisumu,12/1/2025,6,23,33,43
Kenya,Kisumu,12/2/2025,6,19,29,39
Kenya,Kisumu,12/3/2025,8,22,32,42
Kenya,Kisumu,12/4/2025,7,21,31,47
Kenya,Kisumu,12/5/2025,5,26,40,59
Kenya,Kisumu,12/6/2025,5,26,40,60
Kenya,Kisumu,12/7/2025,5,19,32,51
Kenya,Kisumu,12/8/2025,5,18,29,49
Kenya,Kisumu,12/9/2025,5,21,32,43
Kenya,Kisumu,12/10/2025,5,22,33,44
Kenya,Kisumu,12/11/2025,9,29,43,58
Kenya,Kisumu,12/12/2025,6,29,43,62
Kenya,Kisumu,12/13/2025,7,29,44,63
Kenya,Kisumu,12/14/2025,10,26,38,56
Kenya,Kisumu,12/15/2025,7,26,40,56
