Country,City,Date,1 bedroom,2 bedroom,3 bedroom,4 bedroom,5 bedroom,6+ bedroom
Kenya,Kisumu,11/1/2024,2770.74,5489.34,6742.63,8787.07,15799.46,18018.3
Kenya,Kisumu,12/1/2024,3008.89,5670.47,7658.78,9427.74,19761.89,19463.91
Kenya,Kisumu,1/1/2025,2857.67,5134.07,7680.68,13398.8,16947.53,19158.25
Kenya,Kisumu,2/1/2025,2779.97,4607.9,6977.52,9418.01,16777.93,20672.18
Kenya,Kisumu,3/1/2025,2873.3,4839.8,6505.49,11569.84,13846.85,20870.15
Kenya,Kisumu,4/1/2025,2952.93,5168,7037.66,13190.86,15679.42,19331.24
Kenya,Kisumu,5/1/2025,2919.66,5382.7,7254.86,12444.47,15232.04,18916.69
Kenya,Kisumu,6/1/2025,2841.67,5717.15,7254.97,12432.14,14804.67,21185.59
Kenya,Kisumu,7/1/2025,2795.29,5070.78,7389.4,12758.1,17436.16,21267.12
Kenya,Kisumu,8/1/2025,2962,5090.21,6923.61,11049.82,13672.72,22317.82
Kenya,Kisumu,9/1/2025,2915.32,4448.79,6690.4,9991.66,15790.44,22651.26
Kenya,Kisumu,10/1/2025,2977.49,4879.12,7285.46,11343.89,15400.49,20271.83
