Country,City,Date,Average Daily Rate
Kenya,Kisumu,12/1/2024,5120
Kenya,Kisumu,12/2/2024,4489
Kenya,Kisumu,12/3/2024,4437
Kenya,Kisumu,12/4/2024,4336
Kenya,Kisumu,12/5/2024,5332
Kenya,Kisumu,12/6/2024,5454
Kenya,Kisumu,12/7/2024,5187
Kenya,Kisumu,12/8/2024,4547
Kenya,Kisumu,12/9/2024,4700
Kenya,Kisumu,12/10/2024,4760
Kenya,Kisumu,12/11/2024,4953
Kenya,Kisumu,12/12/2024,5139
Kenya,Kisumu,12/13/2024,5504
Kenya,Kisumu,12/14/2024,5425
Kenya,Kisumu,12/15/2024,4480
Kenya,Kisumu,12/16/2024,4684
Kenya,Kisumu,12/17/2024,4651
Kenya,Kisumu,12/18/2024,4633
Kenya,Kisumu,12/19/2024,5108
Kenya,Kisumu,12/20/2024,5339
Kenya,Kisumu,12/21/2024,5789
Kenya,Kisumu,12/22/2024,5234
Kenya,Kisumu,12/23/2024,5668
Kenya,Kisumu,12/24/2024,5809
Kenya,Kisumu,12/25/2024,5792
Kenya,Kisumu,12/26/2024,5814
Kenya,Kisumu,12/27/2024,5840
Kenya,Kisumu,12/28/2024,6436
Kenya,Kisumu,12/29/2024,6113
Kenya,Kisumu,12/30/2024,6256
Kenya,Kisumu,12/31/2024,6468
Kenya,Kisumu,1/1/2025,6223
Kenya,Kisumu,1/2/2025,6447
Kenya,Kisumu,1/3/2025,5392
Kenya,Kisumu,1/4/2025,5158
Kenya,Kisumu,1/5/2025,5126
Kenya,Kisumu,1/6/2025,5282
Kenya,Kisumu,1/7/2025,5174
Kenya,Kisumu,1/8/2025,4973
Kenya,Kisumu,1/9/2025,5241
Kenya,Kisumu,1/10/2025,4758
Kenya,Kisumu,1/11/2025,5149
Kenya,Kisumu,1/12/2025,5193
Kenya,Kisumu,1/13/2025,5108
Kenya,Kisumu,1/14/2025,5005
Kenya,Kisumu,1/15/2025,4644
Kenya,Kisumu,1/16/2025,4395
Kenya,Kisumu,1/17/2025,5231
Kenya,Kisumu,1/18/2025,5115
Kenya,Kisumu,1/19/2025,4375
Kenya,Kisumu,1/20/2025,4079
Kenya,Kisumu,1/21/2025,4105
Kenya,Kisumu,1/22/2025,4420
Kenya,Kisumu,1/23/2025,4511
Kenya,Kisumu,1/24/2025,4795
Kenya,Kisumu,1/25/2025,4526
Kenya,Kisumu,1/26/2025,4575
Kenya,Kisumu,1/27/2025,5036
Kenya,Kisumu,1/28/2025,4842
Kenya,Kisumu,1/29/2025,4250
Kenya,Kisumu,1/30/2025,4272
Kenya,Kisumu,1/31/2025,4472
Kenya,Kisumu,2/1/2025,4410
Kenya,Kisumu,2/2/2025,3974
Kenya,Kisumu,2/3/2025,4319
Kenya,Kisumu,2/4/2025,4115
Kenya,Kisumu,2/5/2025,4154
Kenya,Kisumu,2/6/2025,4353
Kenya,Kisumu,2/7/2025,4104
Kenya,Kisumu,2/8/2025,4368
Kenya,Kisumu,2/9/2025,4033
Kenya,Kisumu,2/10/2025,4354
Kenya,Kisumu,2/11/2025,4562
Kenya,Kisumu,2/12/2025,4345
Kenya,Kisumu,2/13/2025,4088
Kenya,Kisumu,2/14/2025,4314
Kenya,Kisumu,2/15/2025,5045
Kenya,Kisumu,2/16/2025,4010
Kenya,Kisumu,2/17/2025,3992
Kenya,Kisumu,2/18/2025,4278
Kenya,Kisumu,2/19/2025,4153
Kenya,Kisumu,2/20/2025,4030
Kenya,Kisumu,2/21/2025,4390
Kenya,Kisumu,2/22/2025,4444
Kenya,Kisumu,2/23/2025,3772
Kenya,Kisumu,2/24/2025,3512
Kenya,Kisumu,2/25/2025,4108
Kenya,Kisumu,2/26/2025,4618
Kenya,Kisumu,2/27/2025,4110
Kenya,Kisumu,2/28/2025,4155
Kenya,Kisumu,3/1/2025,4309
Kenya,Kisumu,3/2/2025,3757
Kenya,Kisumu,3/3/2025,4448
Kenya,Kisumu,3/4/2025,4701
Kenya,Kisumu,3/5/2025,3916
Kenya,Kisumu,3/6/2025,4412
Kenya,Kisumu,3/7/2025,4316
Kenya,Kisumu,3/8/2025,4504
Kenya,Kisumu,3/9/2025,4336
Kenya,Kisumu,3/10/2025,3888
Kenya,Kisumu,3/11/2025,4112
Kenya,Kisumu,3/12/2025,4116
Kenya,Kisumu,3/13/2025,4571
Kenya,Kisumu,3/14/2025,5051
Kenya,Kisumu,3/15/2025,4978
Kenya,Kisumu,3/16/2025,4524
Kenya,Kisumu,3/17/2025,4518
Kenya,Kisumu,3/18/2025,4461
Kenya,Kisumu,3/19/2025,4294
Kenya,Kisumu,3/20/2025,4205
Kenya,Kisumu,3/21/2025,4950
Kenya,Kisumu,3/22/2025,4635
Kenya,Kisumu,3/23/2025,4309
Kenya,Kisumu,3/24/2025,4120
