Country,City,Date,Budget,Economy,Midscale,Upscale,Luxury
Kenya,Kisumu,11/1/2024,2477,3811,5132,4561,7468
Kenya,Kisumu,12/1/2024,2752,3982,5356,5295,8562
Kenya,Kisumu,1/1/2025,2420,3814,5052,5275,7806
Kenya,Kisumu,2/1/2025,2227,3400,5268,4620,5596
Kenya,Kisumu,3/1/2025,2207,3295,6397,4033,6688
Kenya,Kisumu,4/1/2025,2580,3809,5986,4948,7111
Kenya,Kisumu,5/1/2025,2393,3976,5963,4588,7148
Kenya,Kisumu,6/1/2025,2683,3429,5121,4722,7107
Kenya,Kisumu,7/1/2025,2424,3511,5212,4301,7481
Kenya,Kisumu,8/1/2025,2827,3709,4944,4460,6913
Kenya,Kisumu,9/1/2025,2629,3383,4803,4412,6046
Kenya,Kisumu,10/1/2025,2867,3519,6022,4505,7094
