Country,City,Date,Booked Listings,Daily Rate
Kenya,Kisumu,11/16/2025,65,4007.83
Kenya,Kisumu,11/17/2025,58,3878.54
Kenya,Kisumu,11/18/2025,51,4137.11
Kenya,Kisumu,11/19/2025,50,4137.11
Kenya,Kisumu,11/20/2025,55,4266.4
Kenya,Kisumu,11/21/2025,63,4266.4
Kenya,Kisumu,11/22/2025,61,4266.4
Kenya,Kisumu,11/23/2025,47,4007.83
Kenya,Kisumu,11/24/2025,48,4137.11
Kenya,Kisumu,11/25/2025,48,4007.83
Kenya,Kisumu,11/26/2025,49,4007.83
Kenya,Kisumu,11/27/2025,46,4007.83
Kenya,Kisumu,11/28/2025,42,4524.97
Kenya,Kisumu,11/29/2025,41,4524.97
Kenya,Kisumu,11/30/2025,38,4524.97
Kenya,Kisumu,12/1/2025,43,4524.97
Kenya,Kisumu,12/2/2025,39,4524.97
Kenya,Kisumu,12/3/2025,42,4266.4
Kenya,Kisumu,12/4/2025,47,4524.97
Kenya,Kisumu,12/5/2025,59,4266.4
Kenya,Kisumu,12/6/2025,60,4266.4
Kenya,Kisumu,12/7/2025,51,4524.97
Kenya,Kisumu,12/8/2025,49,4524.97
Kenya,Kisumu,12/9/2025,43,4266.4
Kenya,Kisumu,12/10/2025,44,4524.97
Kenya,Kisumu,12/11/2025,58,5559.24
Kenya,Kisumu,12/12/2025,62,6076.38
Kenya,Kisumu,12/13/2025,63,5817.81
Kenya,Kisumu,12/14/2025,56,4524.97
Kenya,Kisumu,12/15/2025,56,4524.97
Kenya,Kisumu,12/16/2025,55,4395.68
Kenya,Kisumu,12/17/2025,56,4524.97
Kenya,Kisumu,12/18/2025,59,4524.97
Kenya,Kisumu,12/19/2025,67,4783.54
Kenya,Kisumu,12/20/2025,63,4524.97
Kenya,Kisumu,12/21/2025,62,4524.97
Kenya,Kisumu,12/22/2025,62,4524.97
Kenya,Kisumu,12/23/2025,67,4783.54
Kenya,Kisumu,12/24/2025,77,5559.24
Kenya,Kisumu,12/25/2025,79,5429.96
Kenya,Kisumu,12/26/2025,79,5817.81
Kenya,Kisumu,12/27/2025,73,6076.38
Kenya,Kisumu,12/28/2025,61,4524.97
Kenya,Kisumu,12/29/2025,54,4524.97
Kenya,Kisumu,12/30/2025,49,4524.97
Kenya,Kisumu,12/31/2025,47,5171.39
Kenya,Kisumu,1/1/2026,29,5559.24
Kenya,Kisumu,1/2/2026,26,4137.11
Kenya,Kisumu,1/3/2026,23,4524.97
Kenya,Kisumu,1/4/2026,18,4524.97
Kenya,Kisumu,1/5/2026,13,4524.97
Kenya,Kisumu,1/6/2026,11,4524.97
Kenya,Kisumu,1/7/2026,12,4007.83
Kenya,Kisumu,1/8/2026,9,4007.83
Kenya,Kisumu,1/9/2026,9,4007.83
Kenya,Kisumu,1/10/2026,9,4007.83
Kenya,Kisumu,1/11/2026,9,3878.54
Kenya,Kisumu,1/12/2026,11,4007.83
Kenya,Kisumu,1/13/2026,10,3878.54
Kenya,Kisumu,1/14/2026,9,3878.54
Kenya,Kisumu,1/15/2026,9,3878.54
Kenya,Kisumu,1/16/2026,9,3878.54
Kenya,Kisumu,1/17/2026,11,4007.83
Kenya,Kisumu,1/18/2026,8,2585.7
Kenya,Kisumu,1/19/2026,8,2585.7
Kenya,Kisumu,1/20/2026,9,2714.98
Kenya,Kisumu,1/21/2026,9,2714.98
Kenya,Kisumu,1/22/2026,9,2714.98
Kenya,Kisumu,1/23/2026,9,2714.98
Kenya,Kisumu,1/24/2026,9,2714.98
Kenya,Kisumu,1/25/2026,9,2714.98
Kenya,Kisumu,1/26/2026,9,2714.98
Kenya,Kisumu,1/27/2026,9,2714.98
Kenya,Kisumu,1/28/2026,9,2714.98
Kenya,Kisumu,1/29/2026,9,2714.98
Kenya,Kisumu,1/30/2026,9,2714.98
Kenya,Kisumu,1/31/2026,9,2714.98
Kenya,Kisumu,2/1/2026,7,2714.98
Kenya,Kisumu,2/2/2026,6,2585.7
Kenya,Kisumu,2/3/2026,4,2585.7
Kenya,Kisumu,2/4/2026,4,2585.7
Kenya,Kisumu,2/5/2026,4,2585.7
Kenya,Kisumu,2/6/2026,5,3878.54
Kenya,Kisumu,2/7/2026,5,3878.54
Kenya,Kisumu,2/8/2026,5,3878.54
Kenya,Kisumu,2/9/2026,5,3878.54
Kenya,Kisumu,2/10/2026,4,3232.12
Kenya,Kisumu,2/11/2026,3,3878.54
Kenya,Kisumu,2/12/2026,3,3878.54
Kenya,Kisumu,2/13/2026,3,3878.54
Kenya,Kisumu,2/14/2026,3,3878.54
Kenya,Kisumu,2/15/2026,2,3878.54
Kenya,Kisumu,2/16/2026,2,3878.54
Kenya,Kisumu,2/17/2026,2,3878.54
Kenya,Kisumu,2/18/2026,2,3878.54
Kenya,Kisumu,2/19/2026,2,3878.54
Kenya,Kisumu,2/20/2026,2,3878.54
Kenya,Kisumu,2/21/2026,2,3878.54
Kenya,Kisumu,2/22/2026,2,3878.54
Kenya,Kisumu,2/23/2026,2,3878.54
Kenya,Kisumu,2/24/2026,2,3878.54
Kenya,Kisumu,2/25/2026,2,3878.54
Kenya,Kisumu,2/26/2026,2,3878.54
Kenya,Kisumu,2/27/2026,2,3878.54
Kenya,Kisumu,2/28/2026,2,3878.54
Kenya,Kisumu,3/1/2026,2,3878.54
Kenya,Kisumu,3/2/2026,2,3878.54
Kenya,Kisumu,3/3/2026,2,3878.54
Kenya,Kisumu,3/4/2026,2,3878.54
Kenya,Kisumu,3/5/2026,2,3878.54
Kenya,Kisumu,3/6/2026,2,3878.54
Kenya,Kisumu,3/7/2026,2,3878.54
