Country,City,Date,1 bedroom,2 bedroom,3 bedroom,4 bedroom,5 bedroom,6+ bedroom
Kenya,Kisumu,11/1/2024,31756.92,62735.53,67029.87,94900.38,42131.47,270274.43
Kenya,Kisumu,12/1/2024,37611.24,70846.05,99385.75,124445.72,197619.33,204371.05
Kenya,Kisumu,1/1/2025,32426.08,55496.92,78781.43,92451.69,101685.21,306531.94
Kenya,Kisumu,2/1/2025,30216.57,41905.2,66156.87,42904.72,61519.08,289410.5
Kenya,Kisumu,3/1/2025,30761.46,44566.57,64091.55,122309.17,145391.91,104350.74
Kenya,Kisumu,4/1/2025,29195.65,43928.31,88826.35,96394.92,137194.94,86990.6
Kenya,Kisumu,5/1/2025,29302.3,44334.21,81875.76,109511.31,99008.27,141875.16
Kenya,Kisumu,6/1/2025,33090.43,49422.76,73485.83,136753.19,118437.36,211855.92
Kenya,Kisumu,7/1/2025,30810.82,49800.02,78147.84,112860.35,74103.7,138236.25
Kenya,Kisumu,8/1/2025,31408.56,43557.31,71412.28,87609.32,123054.51,334767.32
Kenya,Kisumu,9/1/2025,25462.88,33947.92,54266.95,74223.36,91584.54,249163.81
Kenya,Kisumu,10/1/2025,25846.7,40577.49,64863.52,89719.3,277209.32,111495.08
