Country,City,Date,Average RevPAR
Kenya,Kisumu,11/1/2024,1689.31
Kenya,Kisumu,11/2/2024,2025.03
Kenya,Kisumu,11/3/2024,1512.6
Kenya,Kisumu,11/4/2024,1236.58
Kenya,Kisumu,11/5/2024,1185.4
Kenya,Kisumu,11/6/2024,1383.04
Kenya,Kisumu,11/7/2024,1773.64
Kenya,Kisumu,11/8/2024,2143.15
Kenya,Kisumu,11/9/2024,1749.02
Kenya,Kisumu,11/10/2024,1289.95
Kenya,Kisumu,11/11/2024,1544.64
Kenya,Kisumu,11/12/2024,1686.46
Kenya,Kisumu,11/13/2024,2037.33
Kenya,Kisumu,11/14/2024,2183.38
Kenya,Kisumu,11/15/2024,2042.56
Kenya,Kisumu,11/16/2024,2373.75
Kenya,Kisumu,11/17/2024,1478.75
Kenya,Kisumu,11/18/2024,1164.78
Kenya,Kisumu,11/19/2024,1212.16
Kenya,Kisumu,11/20/2024,1605.41
Kenya,Kisumu,11/21/2024,1998.56
Kenya,Kisumu,11/22/2024,2293.27
Kenya,Kisumu,11/23/2024,2542.47
Kenya,Kisumu,11/24/2024,2108.15
Kenya,Kisumu,11/25/2024,1766.85
Kenya,Kisumu,11/26/2024,1952.2
Kenya,Kisumu,11/27/2024,1920.51
Kenya,Kisumu,11/28/2024,1999.21
Kenya,Kisumu,11/29/2024,2429.55
Kenya,Kisumu,11/30/2024,2742.63
Kenya,Kisumu,12/1/2024,1688.27
Kenya,Kisumu,12/2/2024,1504.34
Kenya,Kisumu,12/3/2024,1625.95
Kenya,Kisumu,12/4/2024,1765.74
Kenya,Kisumu,12/5/2024,2528.57
Kenya,Kisumu,12/6/2024,2848.02
Kenya,Kisumu,12/7/2024,2316.14
Kenya,Kisumu,12/8/2024,1544.56
Kenya,Kisumu,12/9/2024,1304.42
Kenya,Kisumu,12/10/2024,1864.58
Kenya,Kisumu,12/11/2024,2193.97
Kenya,Kisumu,12/12/2024,2476.99
Kenya,Kisumu,12/13/2024,2740.16
Kenya,Kisumu,12/14/2024,2774.27
Kenya,Kisumu,12/15/2024,1724.67
Kenya,Kisumu,12/16/2024,1671.04
Kenya,Kisumu,12/17/2024,1726.3
Kenya,Kisumu,12/18/2024,1800.68
Kenya,Kisumu,12/19/2024,2211.25
Kenya,Kisumu,12/20/2024,2624
Kenya,Kisumu,12/21/2024,3294.11
Kenya,Kisumu,12/22/2024,2926.96
Kenya,Kisumu,12/23/2024,3133.24
Kenya,Kisumu,12/24/2024,3530.65
Kenya,Kisumu,12/25/2024,3588.84
Kenya,Kisumu,12/26/2024,3708.12
Kenya,Kisumu,12/27/2024,3378.3
Kenya,Kisumu,12/28/2024,3605.59
Kenya,Kisumu,12/29/2024,2973.03
Kenya,Kisumu,12/30/2024,2624.97
Kenya,Kisumu,12/31/2024,3156.95
Kenya,Kisumu,1/1/2025,2354.54
Kenya,Kisumu,1/2/2025,2232.28
Kenya,Kisumu,1/3/2025,1714.79
Kenya,Kisumu,1/4/2025,1412.22
Kenya,Kisumu,1/5/2025,1331.16
Kenya,Kisumu,1/6/2025,1263.54
Kenya,Kisumu,1/7/2025,1098.52
Kenya,Kisumu,1/8/2025,1162.91
Kenya,Kisumu,1/9/2025,1325.29
Kenya,Kisumu,1/10/2025,1152.37
Kenya,Kisumu,1/11/2025,1453.98
Kenya,Kisumu,1/12/2025,1597.86
Kenya,Kisumu,1/13/2025,1489.77
Kenya,Kisumu,1/14/2025,1473.39
Kenya,Kisumu,1/15/2025,1513.74
Kenya,Kisumu,1/16/2025,1356.16
Kenya,Kisumu,1/17/2025,1447.46
Kenya,Kisumu,1/18/2025,1472.31
Kenya,Kisumu,1/19/2025,1122.52
Kenya,Kisumu,1/20/2025,1066.9
Kenya,Kisumu,1/21/2025,1050.07
