Country,City,Date,0-6,14-Jul,15-30,31-60,61-90,91+
Kenya,Kisumu,11/1/2024,351,44,32,13,7,9
Kenya,Kisumu,12/1/2024,505,113,86,52,16,31
Kenya,Kisumu,1/1/2025,310,47,35,33,5,12
Kenya,Kisumu,2/1/2025,294,44,25,11,5,7
Kenya,Kisumu,3/1/2025,349,52,28,6,6,8
Kenya,Kisumu,4/1/2025,489,47,57,17,4,11
Kenya,Kisumu,5/1/2025,466,37,30,15,14,28
Kenya,Kisumu,6/1/2025,460,48,32,18,13,13
Kenya,Kisumu,7/1/2025,506,37,31,18,5,14
Kenya,Kisumu,8/1/2025,599,68,46,23,6,0
Kenya,Kisumu,9/1/2025,471,45,32,14,4,4
Kenya,Kisumu,10/1/2025,612,58,32,18,4,4
