Country,City,Date,1 bedroom,2 bedroom,3 bedroom,4 bedroom,5 bedroom,6+ bedroom
Kenya,Mombasa,11/1/2024,751,346,246,65,23,7
Kenya,Mombasa,12/1/2024,968,536,405,92,37,12
Kenya,Mombasa,1/1/2025,970,545,399,90,37,11
Kenya,Mombasa,2/1/2025,729,344,230,50,12,2
Kenya,Mombasa,3/1/2025,677,299,191,39,15,1
Kenya,Mombasa,4/1/2025,742,355,249,53,25,4
Kenya,Mombasa,5/1/2025,789,370,256,53,26,4
Kenya,Mombasa,6/1/2025,758,352,213,46,18,3
Kenya,Mombasa,7/1/2025,759,367,241,52,23,1
Kenya,Mombasa,8/1/2025,819,433,324,65,29,6
Kenya,Mombasa,9/1/2025,852,448,308,62,29,7
Kenya,Mombasa,10/1/2025,845,405,236,52,21,6
