Country,City,Date,Last 7 Days,Last 30 Days,Last 60 Days,All Time
Kenya,Mombasa,11/16/2025,282,526,607,722
Kenya,Mombasa,11/17/2025,241,475,555,667
Kenya,Mombasa,11/18/2025,210,442,514,627
Kenya,Mombasa,11/19/2025,206,432,515,627
Kenya,Mombasa,11/20/2025,199,426,511,627
Kenya,Mombasa,11/21/2025,188,411,495,605
Kenya,Mombasa,11/22/2025,148,362,447,552
Kenya,Mombasa,11/23/2025,121,302,374,484
Kenya,Mombasa,11/24/2025,110,312,391,499
Kenya,Mombasa,11/25/2025,111,319,397,501
Kenya,Mombasa,11/26/2025,123,345,423,531
Kenya,Mombasa,11/27/2025,129,374,462,575
Kenya,Mombasa,11/28/2025,122,356,454,574
Kenya,Mombasa,11/29/2025,100,300,392,511
Kenya,Mombasa,11/30/2025,82,251,328,436
Kenya,Mombasa,12/1/2025,61,222,304,450
Kenya,Mombasa,12/2/2025,65,234,314,457
Kenya,Mombasa,12/3/2025,65,241,318,462
Kenya,Mombasa,12/4/2025,74,266,354,499
Kenya,Mombasa,12/5/2025,80,271,352,498
Kenya,Mombasa,12/6/2025,80,268,340,483
Kenya,Mombasa,12/7/2025,71,228,285,430
Kenya,Mombasa,12/8/2025,69,224,287,428
Kenya,Mombasa,12/9/2025,65,227,293,437
Kenya,Mombasa,12/10/2025,60,228,301,452
Kenya,Mombasa,12/11/2025,63,242,318,475
Kenya,Mombasa,12/12/2025,70,264,344,507
Kenya,Mombasa,12/13/2025,58,263,353,513
Kenya,Mombasa,12/14/2025,54,248,328,483
Kenya,Mombasa,12/15/2025,50,235,306,461
