Country,City,Date,Average Daily Rate
Kenya,Nairobi,12/1/2024,7420
Kenya,Nairobi,12/2/2024,6756
Kenya,Nairobi,12/3/2024,6952
Kenya,Nairobi,12/4/2024,6974
Kenya,Nairobi,12/5/2024,7166
Kenya,Nairobi,12/6/2024,7327
Kenya,Nairobi,12/7/2024,7432
Kenya,Nairobi,12/8/2024,7171
Kenya,Nairobi,12/9/2024,7118
Kenya,Nairobi,12/10/2024,7463
Kenya,Nairobi,12/11/2024,7786
Kenya,Nairobi,12/12/2024,8175
Kenya,Nairobi,12/13/2024,8482
Kenya,Nairobi,12/14/2024,8442
Kenya,Nairobi,12/15/2024,8198
Kenya,Nairobi,12/16/2024,8203
Kenya,Nairobi,12/17/2024,8255
Kenya,Nairobi,12/18/2024,8248
Kenya,Nairobi,12/19/2024,8030
Kenya,Nairobi,12/20/2024,8247
Kenya,Nairobi,12/21/2024,8273
Kenya,Nairobi,12/22/2024,8393
Kenya,Nairobi,12/23/2024,8943
Kenya,Nairobi,12/24/2024,9203
Kenya,Nairobi,12/25/2024,9301
Kenya,Nairobi,12/26/2024,9219
Kenya,Nairobi,12/27/2024,9122
Kenya,Nairobi,12/28/2024,9011
Kenya,Nairobi,12/29/2024,8962
Kenya,Nairobi,12/30/2024,9140
Kenya,Nairobi,12/31/2024,9464
Kenya,Nairobi,1/1/2025,9175
Kenya,Nairobi,1/2/2025,8960
Kenya,Nairobi,1/3/2025,8330
Kenya,Nairobi,1/4/2025,7951
Kenya,Nairobi,1/5/2025,7879
Kenya,Nairobi,1/6/2025,7677
Kenya,Nairobi,1/7/2025,7120
Kenya,Nairobi,1/8/2025,6726
Kenya,Nairobi,1/9/2025,6816
Kenya,Nairobi,1/10/2025,6751
Kenya,Nairobi,1/11/2025,6924
Kenya,Nairobi,1/12/2025,6643
Kenya,Nairobi,1/13/2025,6747
Kenya,Nairobi,1/14/2025,6707
Kenya,Nairobi,1/15/2025,6454
Kenya,Nairobi,1/16/2025,6331
Kenya,Nairobi,1/17/2025,6295
Kenya,Nairobi,1/18/2025,6326
Kenya,Nairobi,1/19/2025,6359
Kenya,Nairobi,1/20/2025,6106
Kenya,Nairobi,1/21/2025,6090
Kenya,Nairobi,1/22/2025,6347
Kenya,Nairobi,1/23/2025,6265
Kenya,Nairobi,1/24/2025,6347
Kenya,Nairobi,1/25/2025,6395
Kenya,Nairobi,1/26/2025,6114
Kenya,Nairobi,1/27/2025,5909
Kenya,Nairobi,1/28/2025,5662
Kenya,Nairobi,1/29/2025,5689
Kenya,Nairobi,1/30/2025,5973
Kenya,Nairobi,1/31/2025,6260
Kenya,Nairobi,2/1/2025,6489
Kenya,Nairobi,2/2/2025,5778
Kenya,Nairobi,2/3/2025,5682
Kenya,Nairobi,2/4/2025,5835
Kenya,Nairobi,2/5/2025,5740
Kenya,Nairobi,2/6/2025,5875
Kenya,Nairobi,2/7/2025,6081
Kenya,Nairobi,2/8/2025,6031
Kenya,Nairobi,2/9/2025,6078
Kenya,Nairobi,2/10/2025,5739
Kenya,Nairobi,2/11/2025,5258
Kenya,Nairobi,2/12/2025,5356
Kenya,Nairobi,2/13/2025,5897
Kenya,Nairobi,2/14/2025,6424
Kenya,Nairobi,2/15/2025,6162
Kenya,Nairobi,2/16/2025,6178
Kenya,Nairobi,2/17/2025,5842
Kenya,Nairobi,2/18/2025,6242
Kenya,Nairobi,2/19/2025,6194
Kenya,Nairobi,2/20/2025,5957
Kenya,Nairobi,2/21/2025,6434
Kenya,Nairobi,2/22/2025,6286
Kenya,Nairobi,2/23/2025,5893
Kenya,Nairobi,2/24/2025,5624
Kenya,Nairobi,2/25/2025,5755
