Country,City,Date,25%,50%,75%,90%
Kenya,Mombasa,11/1/2024,27195.8,58406.21,120179.53,218343.41
Kenya,Mombasa,12/1/2024,36642.28,79993.72,167212.68,296363.83
Kenya,Mombasa,1/1/2025,16317.29,38203.18,85989.53,167446.47
Kenya,Mombasa,2/1/2025,15218.56,36111.83,80477.79,152959.38
Kenya,Mombasa,3/1/2025,15018.22,40782.24,84283.29,144226.71
Kenya,Mombasa,4/1/2025,23335.78,55098.37,112789.6,194724.12
Kenya,Mombasa,5/1/2025,19426.08,45327.53,86640.33,145566.12
Kenya,Mombasa,6/1/2025,21995.97,44763.73,86311.67,146253.9
Kenya,Mombasa,7/1/2025,20719.25,49985.19,107869.6,198516.33
Kenya,Mombasa,8/1/2025,29526.87,68119,145950.78,264187.75
Kenya,Mombasa,9/1/2025,19036.94,44678.54,84047.46,147374.44
Kenya,Mombasa,10/1/2025,22609.08,51161.12,101676.28,163689.76
