Country,City,Date,Unique,B&B,Apartment,House
Kenya,Mombasa,11/1/2024,93242.74,672383.73,104656294.4,13730510.89
Kenya,Mombasa,12/1/2024,191726.89,1490721.69,210593404.2,29055654.65
Kenya,Mombasa,1/1/2025,160712.35,197620.51,94500288.85,11104951.73
Kenya,Mombasa,2/1/2025,139675.39,134516.55,55126380.23,4454006.92
Kenya,Mombasa,3/1/2025,156914.51,62014.89,57153651.49,5258966.6
Kenya,Mombasa,4/1/2025,280936.86,249563.2,97415860.16,11849131.02
Kenya,Mombasa,5/1/2025,122772.84,135205.54,69666336.88,6116755.51
Kenya,Mombasa,6/1/2025,228578,159502.94,75084206.28,7124507.35
Kenya,Mombasa,7/1/2025,579880.04,43639.92,89405511.36,9590552.89
Kenya,Mombasa,8/1/2025,561010.46,332436.25,148120100.8,19991890.12
Kenya,Mombasa,9/1/2025,347327.1,196974.09,73576752.3,6892150.72
Kenya,Mombasa,10/1/2025,465876.3,185911.26,94356488.6,9427083.25
