Country,City,Date,Average RevPAR
Kenya,Mombasa,11/1/2024,3103.68
Kenya,Mombasa,11/2/2024,3160.92
Kenya,Mombasa,11/3/2024,2895.75
Kenya,Mombasa,11/4/2024,2767.42
Kenya,Mombasa,11/5/2024,2932.67
Kenya,Mombasa,11/6/2024,3136.21
Kenya,Mombasa,11/7/2024,3505.61
Kenya,Mombasa,11/8/2024,3611.48
Kenya,Mombasa,11/9/2024,3594.06
Kenya,Mombasa,11/10/2024,3196.61
Kenya,Mombasa,11/11/2024,2869.13
Kenya,Mombasa,11/12/2024,2862.47
Kenya,Mombasa,11/13/2024,3063.3
Kenya,Mombasa,11/14/2024,3505.49
Kenya,Mombasa,11/15/2024,3787.05
Kenya,Mombasa,11/16/2024,3597.21
Kenya,Mombasa,11/17/2024,3018.75
Kenya,Mombasa,11/18/2024,3000.19
Kenya,Mombasa,11/19/2024,3148.2
Kenya,Mombasa,11/20/2024,3397.15
Kenya,Mombasa,11/21/2024,3813.51
Kenya,Mombasa,11/22/2024,4142.43
Kenya,Mombasa,11/23/2024,3969.66
Kenya,Mombasa,11/24/2024,3217.03
Kenya,Mombasa,11/25/2024,3090.7
Kenya,Mombasa,11/26/2024,3113.18
Kenya,Mombasa,11/27/2024,3328.08
Kenya,Mombasa,11/28/2024,3683.44
Kenya,Mombasa,11/29/2024,3866.53
Kenya,Mombasa,11/30/2024,3857.09
Kenya,Mombasa,12/1/2024,3426.02
Kenya,Mombasa,12/2/2024,3127.66
Kenya,Mombasa,12/3/2024,3372.34
Kenya,Mombasa,12/4/2024,3640.14
Kenya,Mombasa,12/5/2024,4115
Kenya,Mombasa,12/6/2024,4192.89
Kenya,Mombasa,12/7/2024,3993.04
Kenya,Mombasa,12/8/2024,3655.69
Kenya,Mombasa,12/9/2024,3658.45
Kenya,Mombasa,12/10/2024,4008.1
Kenya,Mombasa,12/11/2024,4455.88
Kenya,Mombasa,12/12/2024,4985.61
Kenya,Mombasa,12/13/2024,5369.85
Kenya,Mombasa,12/14/2024,4989.88
Kenya,Mombasa,12/15/2024,4384.44
Kenya,Mombasa,12/16/2024,4302.03
Kenya,Mombasa,12/17/2024,4408.04
Kenya,Mombasa,12/18/2024,4505.8
Kenya,Mombasa,12/19/2024,4391.79
Kenya,Mombasa,12/20/2024,4668
Kenya,Mombasa,12/21/2024,4677.33
Kenya,Mombasa,12/22/2024,4860.63
Kenya,Mombasa,12/23/2024,5715.87
Kenya,Mombasa,12/24/2024,6547.63
Kenya,Mombasa,12/25/2024,7003.05
Kenya,Mombasa,12/26/2024,7031.39
Kenya,Mombasa,12/27/2024,6477.95
Kenya,Mombasa,12/28/2024,6336.28
Kenya,Mombasa,12/29/2024,5962.98
Kenya,Mombasa,12/30/2024,5918.76
Kenya,Mombasa,12/31/2024,6227.55
Kenya,Mombasa,1/1/2025,5455.64
Kenya,Mombasa,1/2/2025,4619.39
Kenya,Mombasa,1/3/2025,3693.94
Kenya,Mombasa,1/4/2025,3065.07
Kenya,Mombasa,1/5/2025,2564.7
Kenya,Mombasa,1/6/2025,1982.51
Kenya,Mombasa,1/7/2025,1733.69
Kenya,Mombasa,1/8/2025,1606.15
Kenya,Mombasa,1/9/2025,1624.28
Kenya,Mombasa,1/10/2025,1716.46
Kenya,Mombasa,1/11/2025,1725.62
Kenya,Mombasa,1/12/2025,1421.69
Kenya,Mombasa,1/13/2025,1452.4
Kenya,Mombasa,1/14/2025,1466.59
Kenya,Mombasa,1/15/2025,1397.25
Kenya,Mombasa,1/16/2025,1369.81
Kenya,Mombasa,1/17/2025,1436.77
Kenya,Mombasa,1/18/2025,1366.35
Kenya,Mombasa,1/19/2025,1302.11
Kenya,Mombasa,1/20/2025,1238.55
Kenya,Mombasa,1/21/2025,1279.87
Kenya,Mombasa,1/22/2025,1349.38
Kenya,Mombasa,1/23/2025,1458.51
Kenya,Mombasa,1/24/2025,1509.07
Kenya,Mombasa,1/25/2025,1581.51
Kenya,Mombasa,1/26/2025,1393.89
Kenya,Mombasa,1/27/2025,1401.81
Kenya,Mombasa,1/28/2025,1465.63
Kenya,Mombasa,1/29/2025,1665.42
Kenya,Mombasa,1/30/2025,1931.35
Kenya,Mombasa,1/31/2025,2098.85
Kenya,Mombasa,2/1/2025,1993.78
Kenya,Mombasa,2/2/2025,1618.64
Kenya,Mombasa,2/3/2025,1638.15
Kenya,Mombasa,2/4/2025,1899.53
Kenya,Mombasa,2/5/2025,1892.05
Kenya,Mombasa,2/6/2025,2083.13
Kenya,Mombasa,2/7/2025,2293.34
Kenya,Mombasa,2/8/2025,2240.28
Kenya,Mombasa,2/9/2025,1968.44
Kenya,Mombasa,2/10/2025,1696.16
Kenya,Mombasa,2/11/2025,1588.51
Kenya,Mombasa,2/12/2025,1800.68
Kenya,Mombasa,2/13/2025,2416.29
Kenya,Mombasa,2/14/2025,2819.33
Kenya,Mombasa,2/15/2025,2935.8
Kenya,Mombasa,2/16/2025,2330.31
Kenya,Mombasa,2/17/2025,1994.2
Kenya,Mombasa,2/18/2025,2118.96
Kenya,Mombasa,2/19/2025,2294.36
Kenya,Mombasa,2/20/2025,2311.54
Kenya,Mombasa,2/21/2025,2628.09
Kenya,Mombasa,2/22/2025,2440.15
Kenya,Mombasa,2/23/2025,2055.34
Kenya,Mombasa,2/24/2025,1919.8
Kenya,Mombasa,2/25/2025,2137.43
Kenya,Mombasa,2/26/2025,2225.38
Kenya,Mombasa,2/27/2025,2647.61
Kenya,Mombasa,2/28/2025,2788.79
Kenya,Mombasa,3/1/2025,2678.84
Kenya,Mombasa,3/2/2025,2118.59
Kenya,Mombasa,3/3/2025,1924.06
Kenya,Mombasa,3/4/2025,1956.92
Kenya,Mombasa,3/5/2025,1958.51
Kenya,Mombasa,3/6/2025,2193.61
Kenya,Mombasa,3/7/2025,2297.79
Kenya,Mombasa,3/8/2025,2294.64
Kenya,Mombasa,3/9/2025,1886.3
Kenya,Mombasa,3/10/2025,1722.05
Kenya,Mombasa,3/11/2025,1757.57
Kenya,Mombasa,3/12/2025,1746.62
Kenya,Mombasa,3/13/2025,1988.84
Kenya,Mombasa,3/14/2025,2086.44
Kenya,Mombasa,3/15/2025,2111.25
Kenya,Mombasa,3/16/2025,1883.13
Kenya,Mombasa,3/17/2025,1822.74
Kenya,Mombasa,3/18/2025,1948.54
Kenya,Mombasa,3/19/2025,2042.08
Kenya,Mombasa,3/20/2025,2189.47
Kenya,Mombasa,3/21/2025,2248.29
Kenya,Mombasa,3/22/2025,2169.9
Kenya,Mombasa,3/23/2025,1843.92
Kenya,Mombasa,3/24/2025,1841.99
Kenya,Mombasa,3/25/2025,2063.59
Kenya,Mombasa,3/26/2025,2199.05
Kenya,Mombasa,3/27/2025,2180.48
Kenya,Mombasa,3/28/2025,2558
Kenya,Mombasa,3/29/2025,2446.32
Kenya,Mombasa,3/30/2025,2321.78
Kenya,Mombasa,3/31/2025,2294.81
Kenya,Mombasa,4/1/2025,2603.99
Kenya,Mombasa,4/2/2025,2743.31
Kenya,Mombasa,4/3/2025,2850.45
Kenya,Mombasa,4/4/2025,3093.49
Kenya,Mombasa,4/5/2025,3040.17
Kenya,Mombasa,4/6/2025,2809.24
Kenya,Mombasa,4/7/2025,2898.16
Kenya,Mombasa,4/8/2025,3278.74
Kenya,Mombasa,4/9/2025,3419.88
Kenya,Mombasa,4/10/2025,3956.63
Kenya,Mombasa,4/11/2025,4070.31
Kenya,Mombasa,4/12/2025,3970.22
Kenya,Mombasa,4/13/2025,3540.33
Kenya,Mombasa,4/14/2025,3213.39
Kenya,Mombasa,4/15/2025,3026.99
Kenya,Mombasa,4/16/2025,2999.99
Kenya,Mombasa,4/17/2025,3768.92
Kenya,Mombasa,4/18/2025,4687.75
Kenya,Mombasa,4/19/2025,5079.51
Kenya,Mombasa,4/20/2025,4610.06
Kenya,Mombasa,4/21/2025,3279.91
Kenya,Mombasa,4/22/2025,2698.21
Kenya,Mombasa,4/23/2025,2475.6
Kenya,Mombasa,4/24/2025,2612.93
Kenya,Mombasa,4/25/2025,2724.08
Kenya,Mombasa,4/26/2025,2663.82
Kenya,Mombasa,4/27/2025,2335.66
Kenya,Mombasa,4/28/2025,2076.37
Kenya,Mombasa,4/29/2025,2032.63
Kenya,Mombasa,4/30/2025,2091.24
Kenya,Mombasa,5/1/2025,2074.7
Kenya,Mombasa,5/2/2025,2162.78
Kenya,Mombasa,5/3/2025,2059.15
Kenya,Mombasa,5/4/2025,1555.49
Kenya,Mombasa,5/5/2025,1346.38
Kenya,Mombasa,5/6/2025,1473.48
Kenya,Mombasa,5/7/2025,1632.25
Kenya,Mombasa,5/8/2025,2220.51
Kenya,Mombasa,5/9/2025,1996.51
Kenya,Mombasa,5/10/2025,1819.29
Kenya,Mombasa,5/11/2025,1509.93
Kenya,Mombasa,5/12/2025,1474.68
Kenya,Mombasa,5/13/2025,1654.77
Kenya,Mombasa,5/14/2025,1885.86
Kenya,Mombasa,5/15/2025,2082.87
Kenya,Mombasa,5/16/2025,2141.65
Kenya,Mombasa,5/17/2025,2103.1
Kenya,Mombasa,5/18/2025,1676.96
Kenya,Mombasa,5/19/2025,1676.82
Kenya,Mombasa,5/20/2025,1949.54
Kenya,Mombasa,5/21/2025,2160.31
Kenya,Mombasa,5/22/2025,2725.75
Kenya,Mombasa,5/23/2025,2902.33
Kenya,Mombasa,5/24/2025,2818.24
Kenya,Mombasa,5/25/2025,2314.02
Kenya,Mombasa,5/26/2025,2128.86
Kenya,Mombasa,5/27/2025,2352.7
Kenya,Mombasa,5/28/2025,2410.74
Kenya,Mombasa,5/29/2025,2263.76
Kenya,Mombasa,5/30/2025,2519.11
Kenya,Mombasa,5/31/2025,2630.03
Kenya,Mombasa,6/1/2025,2439.74
Kenya,Mombasa,6/2/2025,1895.73
Kenya,Mombasa,6/3/2025,1795.22
Kenya,Mombasa,6/4/2025,1919.85
Kenya,Mombasa,6/5/2025,1897.02
Kenya,Mombasa,6/6/2025,2154.73
Kenya,Mombasa,6/7/2025,2427.51
Kenya,Mombasa,6/8/2025,2237.56
Kenya,Mombasa,6/9/2025,2256.15
Kenya,Mombasa,6/10/2025,2264.32
Kenya,Mombasa,6/11/2025,2310.5
Kenya,Mombasa,6/12/2025,2327.64
Kenya,Mombasa,6/13/2025,2507.13
Kenya,Mombasa,6/14/2025,2452.64
Kenya,Mombasa,6/15/2025,2197.23
Kenya,Mombasa,6/16/2025,2068.1
Kenya,Mombasa,6/17/2025,2304.99
Kenya,Mombasa,6/18/2025,2510.53
Kenya,Mombasa,6/19/2025,2809.96
Kenya,Mombasa,6/20/2025,3028.96
Kenya,Mombasa,6/21/2025,2688.16
Kenya,Mombasa,6/22/2025,2319.7
Kenya,Mombasa,6/23/2025,2527.2
Kenya,Mombasa,6/24/2025,3005.37
Kenya,Mombasa,6/25/2025,3378.41
Kenya,Mombasa,6/26/2025,3767.45
Kenya,Mombasa,6/27/2025,3521.88
Kenya,Mombasa,6/28/2025,3122.31
Kenya,Mombasa,6/29/2025,2254.97
Kenya,Mombasa,6/30/2025,1867.59
Kenya,Mombasa,7/1/2025,1704.02
Kenya,Mombasa,7/2/2025,2041.82
Kenya,Mombasa,7/3/2025,2600.73
Kenya,Mombasa,7/4/2025,2866.12
Kenya,Mombasa,7/5/2025,2789.25
Kenya,Mombasa,7/6/2025,2343.42
Kenya,Mombasa,7/7/2025,2204.72
Kenya,Mombasa,7/8/2025,2266.64
Kenya,Mombasa,7/9/2025,2200.26
Kenya,Mombasa,7/10/2025,2492.04
Kenya,Mombasa,7/11/2025,3003.72
Kenya,Mombasa,7/12/2025,2975.22
Kenya,Mombasa,7/13/2025,2385.44
Kenya,Mombasa,7/14/2025,2191.84
Kenya,Mombasa,7/15/2025,2282.42
Kenya,Mombasa,7/16/2025,2523.78
Kenya,Mombasa,7/17/2025,2650.57
Kenya,Mombasa,7/18/2025,2833.45
Kenya,Mombasa,7/19/2025,2851.13
Kenya,Mombasa,7/20/2025,2411.31
Kenya,Mombasa,7/21/2025,2158.54
Kenya,Mombasa,7/22/2025,2243.03
Kenya,Mombasa,7/23/2025,2509.68
Kenya,Mombasa,7/24/2025,3075.35
Kenya,Mombasa,7/25/2025,3820.22
Kenya,Mombasa,7/26/2025,4004.26
Kenya,Mombasa,7/27/2025,3364.87
Kenya,Mombasa,7/28/2025,2976.57
Kenya,Mombasa,7/29/2025,3000.84
Kenya,Mombasa,7/30/2025,3067.04
Kenya,Mombasa,7/31/2025,3220.64
Kenya,Mombasa,8/1/2025,3978.02
Kenya,Mombasa,8/2/2025,4292.96
Kenya,Mombasa,8/3/2025,4083.82
Kenya,Mombasa,8/4/2025,3697.02
Kenya,Mombasa,8/5/2025,3697.73
Kenya,Mombasa,8/6/2025,4052.89
Kenya,Mombasa,8/7/2025,4442.3
Kenya,Mombasa,8/8/2025,4890.53
Kenya,Mombasa,8/9/2025,4960.1
Kenya,Mombasa,8/10/2025,4479.62
Kenya,Mombasa,8/11/2025,4188.14
Kenya,Mombasa,8/12/2025,4141.99
Kenya,Mombasa,8/13/2025,4311.87
Kenya,Mombasa,8/14/2025,4938.21
Kenya,Mombasa,8/15/2025,5177.63
Kenya,Mombasa,8/16/2025,5144.38
