Country,City,Date,0-6,14-Jul,15-30,31-60,61-90,91+
Kenya,Mombasa,11/1/2024,2339,525,450,239,75,102
Kenya,Mombasa,12/1/2024,2572,808,830,800,282,319
Kenya,Mombasa,1/1/2025,1805,298,242,161,81,94
Kenya,Mombasa,2/1/2025,1598,279,205,121,31,50
Kenya,Mombasa,3/1/2025,1662,236,172,131,44,31
Kenya,Mombasa,4/1/2025,2412,512,468,240,82,64
Kenya,Mombasa,5/1/2025,2166,264,188,131,38,42
Kenya,Mombasa,6/1/2025,2521,353,276,170,55,52
Kenya,Mombasa,7/1/2025,2369,406,278,198,56,108
Kenya,Mombasa,8/1/2025,3304,708,609,349,126,132
Kenya,Mombasa,9/1/2025,2286,327,249,154,60,68
Kenya,Mombasa,10/1/2025,2747,524,412,281,92,91
