Country,City,Date,Average Daily Rate
Kenya,Nairobi,12/1/2024,5867
Kenya,Nairobi,12/2/2024,5708
Kenya,Nairobi,12/3/2024,5780
Kenya,Nairobi,12/4/2024,5869
Kenya,Nairobi,12/5/2024,5956
Kenya,Nairobi,12/6/2024,6080
Kenya,Nairobi,12/7/2024,6011
Kenya,Nairobi,12/8/2024,5892
Kenya,Nairobi,12/9/2024,5922
Kenya,Nairobi,12/10/2024,5900
Kenya,Nairobi,12/11/2024,5846
Kenya,Nairobi,12/12/2024,5947
Kenya,Nairobi,12/13/2024,6113
Kenya,Nairobi,12/14/2024,6189
Kenya,Nairobi,12/15/2024,6036
Kenya,Nairobi,12/16/2024,6121
Kenya,Nairobi,12/17/2024,6178
Kenya,Nairobi,12/18/2024,6169
Kenya,Nairobi,12/19/2024,6211
Kenya,Nairobi,12/20/2024,6402
Kenya,Nairobi,12/21/2024,6464
Kenya,Nairobi,12/22/2024,6312
Kenya,Nairobi,12/23/2024,6389
Kenya,Nairobi,12/24/2024,6470
Kenya,Nairobi,12/25/2024,6565
Kenya,Nairobi,12/26/2024,6576
Kenya,Nairobi,12/27/2024,6585
Kenya,Nairobi,12/28/2024,6563
Kenya,Nairobi,12/29/2024,6379
Kenya,Nairobi,12/30/2024,6339
Kenya,Nairobi,12/31/2024,6361
Kenya,Nairobi,1/1/2025,6448
Kenya,Nairobi,1/2/2025,6444
Kenya,Nairobi,1/3/2025,6430
Kenya,Nairobi,1/4/2025,6428
Kenya,Nairobi,1/5/2025,6224
Kenya,Nairobi,1/6/2025,6058
Kenya,Nairobi,1/7/2025,6034
Kenya,Nairobi,1/8/2025,5982
Kenya,Nairobi,1/9/2025,6028
Kenya,Nairobi,1/10/2025,6097
Kenya,Nairobi,1/11/2025,6137
Kenya,Nairobi,1/12/2025,6087
Kenya,Nairobi,1/13/2025,6120
Kenya,Nairobi,1/14/2025,6094
Kenya,Nairobi,1/15/2025,6014
Kenya,Nairobi,1/16/2025,6014
Kenya,Nairobi,1/17/2025,6063
Kenya,Nairobi,1/18/2025,6039
Kenya,Nairobi,1/19/2025,5898
Kenya,Nairobi,1/20/2025,5881
Kenya,Nairobi,1/21/2025,5874
Kenya,Nairobi,1/22/2025,5833
Kenya,Nairobi,1/23/2025,5848
Kenya,Nairobi,1/24/2025,5886
Kenya,Nairobi,1/25/2025,5922
Kenya,Nairobi,1/26/2025,5891
Kenya,Nairobi,1/27/2025,5833
Kenya,Nairobi,1/28/2025,5794
Kenya,Nairobi,1/29/2025,5831
Kenya,Nairobi,1/30/2025,5870
Kenya,Nairobi,1/31/2025,6000
Kenya,Nairobi,2/1/2025,6111
Kenya,Nairobi,2/2/2025,6040
Kenya,Nairobi,2/3/2025,5895
Kenya,Nairobi,2/4/2025,5849
Kenya,Nairobi,2/5/2025,5806
Kenya,Nairobi,2/6/2025,5938
Kenya,Nairobi,2/7/2025,5909
Kenya,Nairobi,2/8/2025,5935
Kenya,Nairobi,2/9/2025,5964
Kenya,Nairobi,2/10/2025,5978
Kenya,Nairobi,2/11/2025,5971
Kenya,Nairobi,2/12/2025,5952
Kenya,Nairobi,2/13/2025,6018
Kenya,Nairobi,2/14/2025,5996
Kenya,Nairobi,2/15/2025,5953
Kenya,Nairobi,2/16/2025,5891
Kenya,Nairobi,2/17/2025,5928
Kenya,Nairobi,2/18/2025,6010
Kenya,Nairobi,2/19/2025,5958
Kenya,Nairobi,2/20/2025,6006
Kenya,Nairobi,2/21/2025,6142
Kenya,Nairobi,2/22/2025,6080
Kenya,Nairobi,2/23/2025,5912
Kenya,Nairobi,2/24/2025,5978
Kenya,Nairobi,2/25/2025,5970
Kenya,Nairobi,2/26/2025,5873
Kenya,Nairobi,2/27/2025,5956
Kenya,Nairobi,2/28/2025,6153
Kenya,Nairobi,3/1/2025,6045
Kenya,Nairobi,3/2/2025,5875
Kenya,Nairobi,3/3/2025,5773
Kenya,Nairobi,3/4/2025,5761
Kenya,Nairobi,3/5/2025,5697
Kenya,Nairobi,3/6/2025,5703
Kenya,Nairobi,3/7/2025,5739
Kenya,Nairobi,3/8/2025,5786
Kenya,Nairobi,3/9/2025,5646
Kenya,Nairobi,3/10/2025,5667
Kenya,Nairobi,3/11/2025,5667
Kenya,Nairobi,3/12/2025,5737
Kenya,Nairobi,3/13/2025,5726
Kenya,Nairobi,3/14/2025,5720
Kenya,Nairobi,3/15/2025,5827
Kenya,Nairobi,3/16/2025,5682
Kenya,Nairobi,3/17/2025,5677
Kenya,Nairobi,3/18/2025,5690
Kenya,Nairobi,3/19/2025,5629
Kenya,Nairobi,3/20/2025,5664
Kenya,Nairobi,3/21/2025,5693
