Country,City,Date,Budget,Economy,Midscale,Upscale,Luxury
Kenya,Nairobi,11/1/2024,2911,4087,5231,6368,9713
Kenya,Nairobi,12/1/2024,3222,4453,5671,6767,10402
Kenya,Nairobi,1/1/2025,3155,4275,5442,6581,10074
Kenya,Nairobi,2/1/2025,3102,4119,5333,6394,9699
Kenya,Nairobi,3/1/2025,3032,4063,5285,6239,9332
Kenya,Nairobi,4/1/2025,3115,4311,5345,6301,9498
Kenya,Nairobi,5/1/2025,2972,4120,5134,6231,9108
Kenya,Nairobi,6/1/2025,3018,4173,5341,6380,9543
Kenya,Nairobi,7/1/2025,3132,4456,5494,6529,10040
Kenya,Nairobi,8/1/2025,3213,4511,5488,6645,9869
Kenya,Nairobi,9/1/2025,2889,4029,5127,6273,9302
Kenya,Nairobi,10/1/2025,2809,4059,5195,6355,9633
