Country,City,Date,25%,50%,75%,90%
Kenya,Nairobi,11/1/2024,24994.23,62161.82,115905.9,180010.28
Kenya,Nairobi,12/1/2024,36126.2,82445.14,148762.52,220627.84
Kenya,Nairobi,1/1/2025,31210.05,74593.32,136624.93,205520.15
Kenya,Nairobi,2/1/2025,28502.55,66033.05,121361.53,184428.26
Kenya,Nairobi,3/1/2025,24598.81,62662.23,120534.17,186044.68
Kenya,Nairobi,4/1/2025,25928.64,64173.39,117327.11,185908.38
Kenya,Nairobi,5/1/2025,23311.3,58666.77,112023.75,175093.76
Kenya,Nairobi,6/1/2025,25083.12,63801.17,119627.2,185872.37
Kenya,Nairobi,7/1/2025,29265.94,73164.86,138301,209652.92
Kenya,Nairobi,8/1/2025,29526.87,74335.18,136497.01,210055.16
Kenya,Nairobi,9/1/2025,22404.02,55815.8,112667.63,178843.67
Kenya,Nairobi,10/1/2025,23901.03,61367.51,117954.82,178547.16
