Country,City,Date,Unique,B&B,Apartment,House
Kenya,Nairobi,11/1/2024,3897028.35,2417706.44,322099520.3,34907101.77
Kenya,Nairobi,12/1/2024,4419136.97,3440633.14,481849272.3,54831824.81
Kenya,Nairobi,1/1/2025,3946712.09,3176820.92,421195870.6,48925191.93
Kenya,Nairobi,2/1/2025,3322932.92,3555338.32,361950516.6,44998818.4
Kenya,Nairobi,3/1/2025,3412502.26,2805429.52,338219911.2,38118056.73
Kenya,Nairobi,4/1/2025,2980497.63,2385046.32,343915459.7,36561073.4
Kenya,Nairobi,5/1/2025,3108432.29,1599414.17,325668568.5,30845382.12
Kenya,Nairobi,6/1/2025,3924929.91,1339181.51,374793310.2,40458691.5
Kenya,Nairobi,7/1/2025,3608257.6,2539014.74,452383094.7,50397247.63
Kenya,Nairobi,8/1/2025,3114954.9,2472227.54,474180365.3,58641004.19
Kenya,Nairobi,9/1/2025,2328593.8,1632126.56,361723820.9,41409367.66
Kenya,Nairobi,10/1/2025,3187493.12,1266754.62,377402441,47747670.21
