Country,City,Date,Average RevPAR
Kenya,Nairobi,11/1/2024,2949.73
Kenya,Nairobi,11/2/2024,2964.47
Kenya,Nairobi,11/3/2024,2771.82
Kenya,Nairobi,11/4/2024,2774.19
Kenya,Nairobi,11/5/2024,2756.69
Kenya,Nairobi,11/6/2024,2717.91
Kenya,Nairobi,11/7/2024,2867.07
Kenya,Nairobi,11/8/2024,3200.53
Kenya,Nairobi,11/9/2024,3114.09
Kenya,Nairobi,11/10/2024,2808.16
Kenya,Nairobi,11/11/2024,2644.87
Kenya,Nairobi,11/12/2024,2762.34
Kenya,Nairobi,11/13/2024,2808.32
Kenya,Nairobi,11/14/2024,2906.32
Kenya,Nairobi,11/15/2024,2930.43
Kenya,Nairobi,11/16/2024,3072.35
Kenya,Nairobi,11/17/2024,2906.9
Kenya,Nairobi,11/18/2024,2763.96
Kenya,Nairobi,11/19/2024,2789.01
Kenya,Nairobi,11/20/2024,2880.77
Kenya,Nairobi,11/21/2024,2993.1
Kenya,Nairobi,11/22/2024,3168.96
Kenya,Nairobi,11/23/2024,3298.6
Kenya,Nairobi,11/24/2024,2996.71
Kenya,Nairobi,11/25/2024,2861.22
Kenya,Nairobi,11/26/2024,2768.43
Kenya,Nairobi,11/27/2024,2858.64
Kenya,Nairobi,11/28/2024,3189.87
Kenya,Nairobi,11/29/2024,3443.86
Kenya,Nairobi,11/30/2024,3415.51
Kenya,Nairobi,12/1/2024,3154.57
Kenya,Nairobi,12/2/2024,3061.16
Kenya,Nairobi,12/3/2024,3122.29
Kenya,Nairobi,12/4/2024,3321.84
Kenya,Nairobi,12/5/2024,3451.23
Kenya,Nairobi,12/6/2024,3638.19
Kenya,Nairobi,12/7/2024,3545.79
Kenya,Nairobi,12/8/2024,3406.09
Kenya,Nairobi,12/9/2024,3349.29
Kenya,Nairobi,12/10/2024,3381.56
Kenya,Nairobi,12/11/2024,3403.54
Kenya,Nairobi,12/12/2024,3604.88
Kenya,Nairobi,12/13/2024,3874.82
Kenya,Nairobi,12/14/2024,3969.99
Kenya,Nairobi,12/15/2024,3717.08
Kenya,Nairobi,12/16/2024,3690.75
Kenya,Nairobi,12/17/2024,3745.83
Kenya,Nairobi,12/18/2024,3750.54
Kenya,Nairobi,12/19/2024,3820.26
Kenya,Nairobi,12/20/2024,4126.04
Kenya,Nairobi,12/21/2024,4196.92
Kenya,Nairobi,12/22/2024,3857.54
Kenya,Nairobi,12/23/2024,3676.31
