Country,City,Date,Last 7 Days,Last 30 Days,Last 60 Days,All Time
Kenya,Nakuru,11/16/2025,47,87,108,129
Kenya,Nakuru,11/17/2025,34,63,83,99
Kenya,Nakuru,11/18/2025,35,63,83,104
Kenya,Nakuru,11/19/2025,32,68,85,104
Kenya,Nakuru,11/20/2025,31,77,96,118
Kenya,Nakuru,11/21/2025,26,81,100,128
Kenya,Nakuru,11/22/2025,25,81,98,123
Kenya,Nakuru,11/23/2025,12,45,59,81
Kenya,Nakuru,11/24/2025,9,33,49,69
Kenya,Nakuru,11/25/2025,7,34,47,66
Kenya,Nakuru,11/26/2025,7,36,52,73
Kenya,Nakuru,11/27/2025,12,39,55,77
Kenya,Nakuru,11/28/2025,16,50,74,102
Kenya,Nakuru,11/29/2025,16,58,82,111
Kenya,Nakuru,11/30/2025,16,42,53,70
Kenya,Nakuru,12/1/2025,10,24,34,49
Kenya,Nakuru,12/2/2025,7,25,34,50
Kenya,Nakuru,12/3/2025,10,32,43,60
Kenya,Nakuru,12/4/2025,11,32,41,58
Kenya,Nakuru,12/5/2025,12,32,42,66
Kenya,Nakuru,12/6/2025,11,30,44,70
Kenya,Nakuru,12/7/2025,9,24,35,54
Kenya,Nakuru,12/8/2025,6,24,31,47
Kenya,Nakuru,12/9/2025,7,25,35,52
Kenya,Nakuru,12/10/2025,11,29,41,60
Kenya,Nakuru,12/11/2025,11,32,46,66
Kenya,Nakuru,12/12/2025,16,51,75,104
Kenya,Nakuru,12/13/2025,14,53,74,103
Kenya,Nakuru,12/14/2025,10,36,55,78
Kenya,Nakuru,12/15/2025,8,29,45,68
