Country,City,Date,1 bedroom,2 bedroom,3 bedroom,4 bedroom,5 bedroom,6+ bedroom
Kenya,Nakuru,11/1/2024,5068.17,7748.32,13367.47,22280.98,27557.82,32602.58
Kenya,Nakuru,12/1/2024,5105.02,7962.52,13006.52,22628.89,30456.62,45105.86
Kenya,Nakuru,1/1/2025,5144.36,8436.27,13947.25,23851.97,31104.1,50711.17
Kenya,Nakuru,2/1/2025,6118.55,10230.27,14538.07,23274.34,35523.83,42082.23
Kenya,Nakuru,3/1/2025,5157.64,8130.11,13152.82,22173.75,28986.21,32736.93
Kenya,Nakuru,4/1/2025,4642.44,7486.53,11323.1,19266.11,24764.45,31669.02
Kenya,Nakuru,5/1/2025,4401.93,7514.59,9936.92,18477.13,26946.84,26068.55
Kenya,Nakuru,6/1/2025,4678.74,7959.49,13494.82,20191.87,26575.08,28177.84
Kenya,Nakuru,7/1/2025,5260.98,8792.85,14857.23,22040.78,25821.92,36222.97
Kenya,Nakuru,8/1/2025,4502.16,7507.32,14148.03,25138.47,27762.6,38557.06
Kenya,Nakuru,9/1/2025,4760.86,7290.46,12135.84,22200.52,29761.22,35423.51
Kenya,Nakuru,10/1/2025,5268.84,8834.26,15280.25,21786.85,27870.45,31308.62
