Country,City,Date,Average Daily Rate
Kenya,Nakuru,12/1/2024,8606
Kenya,Nakuru,12/2/2024,7166
Kenya,Nakuru,12/3/2024,7082
Kenya,Nakuru,12/4/2024,6812
Kenya,Nakuru,12/5/2024,7723
Kenya,Nakuru,12/6/2024,9727
Kenya,Nakuru,12/7/2024,11999
Kenya,Nakuru,12/8/2024,10492
Kenya,Nakuru,12/9/2024,8135
Kenya,Nakuru,12/10/2024,7459
Kenya,Nakuru,12/11/2024,6854
Kenya,Nakuru,12/12/2024,9372
Kenya,Nakuru,12/13/2024,11497
Kenya,Nakuru,12/14/2024,13177
Kenya,Nakuru,12/15/2024,12088
Kenya,Nakuru,12/16/2024,11511
Kenya,Nakuru,12/17/2024,11140
Kenya,Nakuru,12/18/2024,10777
Kenya,Nakuru,12/19/2024,10482
Kenya,Nakuru,12/20/2024,11393
Kenya,Nakuru,12/21/2024,12020
Kenya,Nakuru,12/22/2024,12293
Kenya,Nakuru,12/23/2024,11763
Kenya,Nakuru,12/24/2024,12741
Kenya,Nakuru,12/25/2024,12020
Kenya,Nakuru,12/26/2024,11495
Kenya,Nakuru,12/27/2024,11244
Kenya,Nakuru,12/28/2024,11052
Kenya,Nakuru,12/29/2024,10691
Kenya,Nakuru,12/30/2024,11507
Kenya,Nakuru,12/31/2024,11277
Kenya,Nakuru,1/1/2025,11339
Kenya,Nakuru,1/2/2025,10874
Kenya,Nakuru,1/3/2025,11827
Kenya,Nakuru,1/4/2025,13010
Kenya,Nakuru,1/5/2025,10446
Kenya,Nakuru,1/6/2025,10900
Kenya,Nakuru,1/7/2025,11237
Kenya,Nakuru,1/8/2025,10347
Kenya,Nakuru,1/9/2025,10091
Kenya,Nakuru,1/10/2025,12309
Kenya,Nakuru,1/11/2025,12889
Kenya,Nakuru,1/12/2025,12781
Kenya,Nakuru,1/13/2025,11272
Kenya,Nakuru,1/14/2025,9695
Kenya,Nakuru,1/15/2025,9170
Kenya,Nakuru,1/16/2025,8262
Kenya,Nakuru,1/17/2025,9873
Kenya,Nakuru,1/18/2025,10687
Kenya,Nakuru,1/19/2025,9657
Kenya,Nakuru,1/20/2025,9055
Kenya,Nakuru,1/21/2025,8731
Kenya,Nakuru,1/22/2025,7699
Kenya,Nakuru,1/23/2025,7819
Kenya,Nakuru,1/24/2025,11115
Kenya,Nakuru,1/25/2025,11892
Kenya,Nakuru,1/26/2025,11329
Kenya,Nakuru,1/27/2025,7950
Kenya,Nakuru,1/28/2025,7380
Kenya,Nakuru,1/29/2025,8138
Kenya,Nakuru,1/30/2025,8901
Kenya,Nakuru,1/31/2025,10865
Kenya,Nakuru,2/1/2025,11667
Kenya,Nakuru,2/2/2025,9664
Kenya,Nakuru,2/3/2025,8873
Kenya,Nakuru,2/4/2025,8610
Kenya,Nakuru,2/5/2025,9069
Kenya,Nakuru,2/6/2025,9212
Kenya,Nakuru,2/7/2025,12457
Kenya,Nakuru,2/8/2025,13964
Kenya,Nakuru,2/9/2025,11121
Kenya,Nakuru,2/10/2025,11371
Kenya,Nakuru,2/11/2025,9913
Kenya,Nakuru,2/12/2025,9372
Kenya,Nakuru,2/13/2025,10805
Kenya,Nakuru,2/14/2025,12281
Kenya,Nakuru,2/15/2025,13475
Kenya,Nakuru,2/16/2025,13486
Kenya,Nakuru,2/17/2025,12050
Kenya,Nakuru,2/18/2025,11662
Kenya,Nakuru,2/19/2025,11554
Kenya,Nakuru,2/20/2025,11064
Kenya,Nakuru,2/21/2025,13238
Kenya,Nakuru,2/22/2025,15155
Kenya,Nakuru,2/23/2025,13663
Kenya,Nakuru,2/24/2025,13517
Kenya,Nakuru,2/25/2025,10883
Kenya,Nakuru,2/26/2025,9758
Kenya,Nakuru,2/27/2025,9485
Kenya,Nakuru,2/28/2025,12883
Kenya,Nakuru,3/1/2025,13497
Kenya,Nakuru,3/2/2025,12456
Kenya,Nakuru,3/3/2025,11200
Kenya,Nakuru,3/4/2025,9442
Kenya,Nakuru,3/5/2025,8810
Kenya,Nakuru,3/6/2025,9432
Kenya,Nakuru,3/7/2025,13779
Kenya,Nakuru,3/8/2025,13674
Kenya,Nakuru,3/9/2025,9472
Kenya,Nakuru,3/10/2025,9617
Kenya,Nakuru,3/11/2025,9271
Kenya,Nakuru,3/12/2025,8599
Kenya,Nakuru,3/13/2025,9451
Kenya,Nakuru,3/14/2025,12000
Kenya,Nakuru,3/15/2025,12539
Kenya,Nakuru,3/16/2025,10091
Kenya,Nakuru,3/17/2025,9289
Kenya,Nakuru,3/18/2025,9032
Kenya,Nakuru,3/19/2025,7479
Kenya,Nakuru,3/20/2025,9583
Kenya,Nakuru,3/21/2025,10066
Kenya,Nakuru,3/22/2025,9614
Kenya,Nakuru,3/23/2025,8498
Kenya,Nakuru,3/24/2025,7703
Kenya,Nakuru,3/25/2025,6917
Kenya,Nakuru,3/26/2025,7051
Kenya,Nakuru,3/27/2025,7408
Kenya,Nakuru,3/28/2025,9359
Kenya,Nakuru,3/29/2025,11798
Kenya,Nakuru,3/30/2025,9995
Kenya,Nakuru,3/31/2025,7217
Kenya,Nakuru,4/1/2025,8348
Kenya,Nakuru,4/2/2025,8077
Kenya,Nakuru,4/3/2025,6922
Kenya,Nakuru,4/4/2025,10274
Kenya,Nakuru,4/5/2025,11687
Kenya,Nakuru,4/6/2025,9963
Kenya,Nakuru,4/7/2025,8804
Kenya,Nakuru,4/8/2025,7412
Kenya,Nakuru,4/9/2025,5739
Kenya,Nakuru,4/10/2025,6959
Kenya,Nakuru,4/11/2025,9199
Kenya,Nakuru,4/12/2025,10043
Kenya,Nakuru,4/13/2025,8136
Kenya,Nakuru,4/14/2025,8571
Kenya,Nakuru,4/15/2025,8276
Kenya,Nakuru,4/16/2025,8543
Kenya,Nakuru,4/17/2025,8986
Kenya,Nakuru,4/18/2025,11049
Kenya,Nakuru,4/19/2025,11400
Kenya,Nakuru,4/20/2025,9778
Kenya,Nakuru,4/21/2025,8136
Kenya,Nakuru,4/22/2025,7247
Kenya,Nakuru,4/23/2025,7050
Kenya,Nakuru,4/24/2025,7282
Kenya,Nakuru,4/25/2025,9206
Kenya,Nakuru,4/26/2025,10116
Kenya,Nakuru,4/27/2025,7132
Kenya,Nakuru,4/28/2025,6307
Kenya,Nakuru,4/29/2025,5603
Kenya,Nakuru,4/30/2025,5862
Kenya,Nakuru,5/1/2025,9334
Kenya,Nakuru,5/2/2025,11331
Kenya,Nakuru,5/3/2025,11259
Kenya,Nakuru,5/4/2025,6872
Kenya,Nakuru,5/5/2025,5864
Kenya,Nakuru,5/6/2025,6014
Kenya,Nakuru,5/7/2025,6681
Kenya,Nakuru,5/8/2025,7136
Kenya,Nakuru,5/9/2025,11020
Kenya,Nakuru,5/10/2025,11097
Kenya,Nakuru,5/11/2025,7541
Kenya,Nakuru,5/12/2025,6416
Kenya,Nakuru,5/13/2025,6409
Kenya,Nakuru,5/14/2025,6360
Kenya,Nakuru,5/15/2025,6319
Kenya,Nakuru,5/16/2025,8103
Kenya,Nakuru,5/17/2025,9685
Kenya,Nakuru,5/18/2025,6787
Kenya,Nakuru,5/19/2025,6183
Kenya,Nakuru,5/20/2025,5788
Kenya,Nakuru,5/21/2025,6039
Kenya,Nakuru,5/22/2025,6227
Kenya,Nakuru,5/23/2025,10412
Kenya,Nakuru,5/24/2025,11403
Kenya,Nakuru,5/25/2025,7789
Kenya,Nakuru,5/26/2025,6163
Kenya,Nakuru,5/27/2025,5768
Kenya,Nakuru,5/28/2025,5201
Kenya,Nakuru,5/29/2025,5803
Kenya,Nakuru,5/30/2025,8843
Kenya,Nakuru,5/31/2025,10267
Kenya,Nakuru,6/1/2025,9827
Kenya,Nakuru,6/2/2025,9094
Kenya,Nakuru,6/3/2025,8819
Kenya,Nakuru,6/4/2025,10074
Kenya,Nakuru,6/5/2025,8204
Kenya,Nakuru,6/6/2025,11519
Kenya,Nakuru,6/7/2025,13805
Kenya,Nakuru,6/8/2025,9561
Kenya,Nakuru,6/9/2025,7872
Kenya,Nakuru,6/10/2025,8329
Kenya,Nakuru,6/11/2025,8271
Kenya,Nakuru,6/12/2025,9408
Kenya,Nakuru,6/13/2025,12078
Kenya,Nakuru,6/14/2025,13225
Kenya,Nakuru,6/15/2025,9645
Kenya,Nakuru,6/16/2025,8316
Kenya,Nakuru,6/17/2025,6152
Kenya,Nakuru,6/18/2025,6532
Kenya,Nakuru,6/19/2025,6480
Kenya,Nakuru,6/20/2025,9942
Kenya,Nakuru,6/21/2025,10766
Kenya,Nakuru,6/22/2025,8919
Kenya,Nakuru,6/23/2025,9021
Kenya,Nakuru,6/24/2025,8599
Kenya,Nakuru,6/25/2025,7284
Kenya,Nakuru,6/26/2025,6636
Kenya,Nakuru,6/27/2025,11164
Kenya,Nakuru,6/28/2025,12502
Kenya,Nakuru,6/29/2025,9508
Kenya,Nakuru,6/30/2025,8467
Kenya,Nakuru,7/1/2025,7561
Kenya,Nakuru,7/2/2025,7621
Kenya,Nakuru,7/3/2025,7635
Kenya,Nakuru,7/4/2025,11087
Kenya,Nakuru,7/5/2025,12157
Kenya,Nakuru,7/6/2025,9825
Kenya,Nakuru,7/7/2025,7784
Kenya,Nakuru,7/8/2025,9899
Kenya,Nakuru,7/9/2025,10322
Kenya,Nakuru,7/10/2025,10802
Kenya,Nakuru,7/11/2025,13734
Kenya,Nakuru,7/12/2025,12522
Kenya,Nakuru,7/13/2025,11517
Kenya,Nakuru,7/14/2025,9908
Kenya,Nakuru,7/15/2025,10629
Kenya,Nakuru,7/16/2025,10295
Kenya,Nakuru,7/17/2025,10006
Kenya,Nakuru,7/18/2025,13106
Kenya,Nakuru,7/19/2025,13860
Kenya,Nakuru,7/20/2025,13210
Kenya,Nakuru,7/21/2025,12698
Kenya,Nakuru,7/22/2025,10392
Kenya,Nakuru,7/23/2025,9864
Kenya,Nakuru,7/24/2025,10093
Kenya,Nakuru,7/25/2025,12460
Kenya,Nakuru,7/26/2025,12732
Kenya,Nakuru,7/27/2025,11700
Kenya,Nakuru,7/28/2025,10202
Kenya,Nakuru,7/29/2025,10989
Kenya,Nakuru,7/30/2025,11099
Kenya,Nakuru,7/31/2025,9768
Kenya,Nakuru,8/1/2025,13234
Kenya,Nakuru,8/2/2025,13187
Kenya,Nakuru,8/3/2025,9740
Kenya,Nakuru,8/4/2025,10720
