Country,City,Date,Budget,Economy,Midscale,Upscale,Luxury
Kenya,Nakuru,11/1/2024,3117,6211,6936,7775,19580
Kenya,Nakuru,12/1/2024,3869,6247,6899,9579,22152
Kenya,Nakuru,1/1/2025,2950,5299,7805,8464,20965
Kenya,Nakuru,2/1/2025,3162,5062,9563,9025,21101
Kenya,Nakuru,3/1/2025,3408,5423,6757,8755,19051
Kenya,Nakuru,4/1/2025,3367,5385,6633,7872,19137
Kenya,Nakuru,5/1/2025,3223,5417,6829,8149,17033
Kenya,Nakuru,6/1/2025,3485,5091,6994,9054,18870
Kenya,Nakuru,7/1/2025,3610,6326,9159,8942,20649
Kenya,Nakuru,8/1/2025,4337,5194,7620,8494,23039
Kenya,Nakuru,9/1/2025,3955,4792,7836,8413,20948
Kenya,Nakuru,10/1/2025,3851,5549,8352,9296,21449
