Country,City,Date,1 bedroom,2 bedroom,3 bedroom,4 bedroom,5 bedroom,6+ bedroom
Kenya,Nakuru,11/1/2024,43414.85,74046.39,109353.01,160181.96,181881.61,304291.19
Kenya,Nakuru,12/1/2024,52670.7,97207.85,144658.32,230508.36,295259.4,395212.85
Kenya,Nakuru,1/1/2025,46227.14,76541.04,100255.5,207456.21,139392.39,366680.58
Kenya,Nakuru,2/1/2025,47922.97,89325.18,129961.31,210924.02,220247.32,287562.35
Kenya,Nakuru,3/1/2025,38968.4,66284.73,122653.55,137410.25,228478.92,231204.21
Kenya,Nakuru,4/1/2025,38296.61,62744.73,99431.16,136964.17,185733.36,260138.2
Kenya,Nakuru,5/1/2025,28569.29,50509.11,68478.24,103841.48,142433.34,115446.62
Kenya,Nakuru,6/1/2025,33158.6,65397.49,113478.62,120388.7,201970.59,159674.02
Kenya,Nakuru,7/1/2025,43538.92,74966.14,144202.1,140640.98,275825.03,280124.28
Kenya,Nakuru,8/1/2025,40740.6,65407.19,141760.04,204786.95,248706.87,277610.82
Kenya,Nakuru,9/1/2025,36689.5,68289.53,118503.03,185004.13,236229.05,198916.64
Kenya,Nakuru,10/1/2025,44209.15,84351.26,148384.06,186744.57,214835.38,225869.91
