Country,City,Date,25%,50%,75%,90%
Kenya,Nakuru,11/1/2024,11396.33,37556.1,97516.36,235955.92
Kenya,Nakuru,12/1/2024,19611.36,55221.47,133795.95,304234.18
Kenya,Nakuru,1/1/2025,13209.23,32375.57,92205.64,236600.7
Kenya,Nakuru,2/1/2025,10317.66,28115.64,99307.52,308756.12
Kenya,Nakuru,3/1/2025,10357.39,30036.44,75350.04,219188.34
Kenya,Nakuru,4/1/2025,14260.75,37466.89,72989.13,184352.66
Kenya,Nakuru,5/1/2025,8936,22793.27,58148.74,137018.64
Kenya,Nakuru,6/1/2025,9647.36,25211.75,74863.47,196548.78
Kenya,Nakuru,7/1/2025,11784.07,38071.62,97898.46,272846.64
Kenya,Nakuru,8/1/2025,13597.9,32634.96,96350.83,255122.49
Kenya,Nakuru,9/1/2025,14504.34,34188.8,91688.14,204226.26
Kenya,Nakuru,10/1/2025,12919.48,40179.57,99479.97,254772.07
