Country,City,Date,Average RevPAR
Kenya,Nakuru,11/1/2024,3643.67
Kenya,Nakuru,11/2/2024,4860.67
Kenya,Nakuru,11/3/2024,2468.61
Kenya,Nakuru,11/4/2024,2100.56
Kenya,Nakuru,11/5/2024,1842.66
Kenya,Nakuru,11/6/2024,1823.89
Kenya,Nakuru,11/7/2024,2604.62
Kenya,Nakuru,11/8/2024,3509.8
Kenya,Nakuru,11/9/2024,4603.68
Kenya,Nakuru,11/10/2024,2046.72
Kenya,Nakuru,11/11/2024,1731.52
Kenya,Nakuru,11/12/2024,1785.26
Kenya,Nakuru,11/13/2024,1941.44
Kenya,Nakuru,11/14/2024,2454.41
Kenya,Nakuru,11/15/2024,4122.08
Kenya,Nakuru,11/16/2024,4640.18
Kenya,Nakuru,11/17/2024,1967.56
Kenya,Nakuru,11/18/2024,1761.49
Kenya,Nakuru,11/19/2024,1893.88
Kenya,Nakuru,11/20/2024,1852.88
Kenya,Nakuru,11/21/2024,2299.35
Kenya,Nakuru,11/22/2024,4029.39
Kenya,Nakuru,11/23/2024,4724.4
Kenya,Nakuru,11/24/2024,2124.16
Kenya,Nakuru,11/25/2024,1710.09
Kenya,Nakuru,11/26/2024,2074.08
Kenya,Nakuru,11/27/2024,2356.32
Kenya,Nakuru,11/28/2024,3061.84
Kenya,Nakuru,11/29/2024,4736.47
Kenya,Nakuru,11/30/2024,5241.01
Kenya,Nakuru,12/1/2024,2306.42
Kenya,Nakuru,12/2/2024,1939.66
Kenya,Nakuru,12/3/2024,2093.03
Kenya,Nakuru,12/4/2024,2365.78
Kenya,Nakuru,12/5/2024,2936.6
Kenya,Nakuru,12/6/2024,3502.63
Kenya,Nakuru,12/7/2024,4914.65
Kenya,Nakuru,12/8/2024,2994.49
Kenya,Nakuru,12/9/2024,1971.39
Kenya,Nakuru,12/10/2024,2229.45
Kenya,Nakuru,12/11/2024,2712.69
Kenya,Nakuru,12/12/2024,4695.36
Kenya,Nakuru,12/13/2024,5862.09
