Country,City,Date,0-6,14-Jul,15-30,31-60,61-90,91+
Kenya,Nakuru,11/1/2024,665,166,166,106,29,59
Kenya,Nakuru,12/1/2024,1033,305,252,267,121,198
Kenya,Nakuru,1/1/2025,595,94,117,78,72,95
Kenya,Nakuru,2/1/2025,578,162,126,119,42,75
Kenya,Nakuru,3/1/2025,760,172,202,152,121,51
Kenya,Nakuru,4/1/2025,902,184,173,130,53,101
Kenya,Nakuru,5/1/2025,813,161,184,136,22,29
Kenya,Nakuru,6/1/2025,889,134,131,121,37,86
Kenya,Nakuru,7/1/2025,717,125,130,104,65,141
Kenya,Nakuru,8/1/2025,982,178,175,90,119,157
Kenya,Nakuru,9/1/2025,868,166,130,91,38,97
Kenya,Nakuru,10/1/2025,905,163,171,141,49,95
